"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Cash/sh","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Short Interest","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open","Gap","Average Volume","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change","After-Hours Close","After-Hours Change"
52,"QS","QuantumScape Corp","Consumer Cyclical","Auto Parts","USA",4640.63,,2.02,433.16,345.15,30.91%,-0.80%,24.18%,3.37%,16.01%,6.48,55.25,-0.74%,-0.63%,-0.85%,-1.64%,-1.78%,-0.43%,4.74%,4.62%,2.77%,0.98%,71.72%,82.51%,70.46%,33.29%,-9.54%,33.67%,0.51,11.57%,5.94%,64.06%,63.79%,49.80%,3.68%,-1.97%,8520.05,6.17,6474758,9.14,8.96,9.52,8.80,9.29,1.64%,,
53,"RIOT","Riot Platforms Inc","Financial","Capital Markets","USA",3731.17,17.59,2.38,288.79,264.27,8.49%,-0.20%,41.55%,6.06%,23.36%,2.59,61.72,-0.07%,-0.31%,0.01%,-0.15%,-0.05%,1.97%,3.68%,4.96%,4.86%,3.28%,41.05%,22.70%,60.30%,14.44%,-30.09%,-16.48%,0.77,8.56%,6.55%,31.09%,28.75%,11.42%,4.87%,-2.99%,23863.11,2.29,6729131,12.70,12.32,13.09,12.33,12.92,1.73%,,
54,"RPAY","Repay Holdings Corporation","Technology","Software - Infrastructure","USA",962.69,,1.34,90.80,80.14,16.34%,-1.14%,79.48%,-4.50%,2.12%,1.65,1.70,-0.41%,-0.79%,0.50%,0.75%,1.20%,1.93%,3.29%,3.29%,3.29%,2.34%,9.60%,-5.19%,6.91%,33.47%,26.89%,17.68%,0.43,3.00%,3.80%,-0.43%,-1.46%,14.91%,3.29%,-0.92%,1029.65,5.36,678786,9.82,9.73,10.13,9.73,10.05,2.34%,,
55,"SHIM","Shimmick Corp.","Industrials","Engineering & Construction","USA",87.57,,0.91,30.89,30.89,0.00%,,7.23%,,0.21%,0.35,0.06,-0.52%,1.25%,2.01%,0.00%,-1.39%,-6.79%,1.98%,-4.54%,-3.24%,-11.68%,69.76%,64.83%,-17.11%,-56.32%,,-57.05%,0.22,9.75%,7.24%,74.52%,43.15%,-39.00%,-1.56%,39.13%,184.54,445.75,10124257,2.07,2.88,3.13,2.69,2.84,36.96%,,
56,"SLDP","Solid Power Inc","Consumer Cyclical","Auto Parts","USA",398.36,,0.83,179.01,134.35,24.12%,-2.57%,23.00%,39.65%,12.06%,8.49,16.20,-0.00%,0.45%,0.27%,-0.44%,-0.44%,-0.22%,1.35%,2.74%,-1.35%,-2.17%,26.40%,34.73%,40.62%,89.08%,-21.88%,55.17%,0.11,8.23%,5.72%,28.76%,28.44%,40.48%,1.35%,-0.89%,1909.07,2.89,679877,2.24,2.22,2.27,2.17,2.25,0.45%,,
57,"SOFI","SoFi Technologies Inc","Financial","Credit Services","USA",8304.46,,4.37,1057.22,1005.29,4.91%,-27.65%,38.33%,4.43%,18.60%,4.80,187.00,-0.06%,0.06%,-0.25%,-0.57%,-0.38%,-0.13%,3.02%,3.90%,4.21%,3.08%,19.56%,21.59%,9.10%,1.75%,-17.14%,-21.06%,0.26,4.75%,3.39%,18.92%,14.84%,3.41%,3.74%,-2.30%,38981.26,2.62,12588070,7.75,7.57,7.91,7.57,7.86,1.35%,,
58,"SOUN","SoundHound AI Inc","Technology","Software - Application","USA",1976.67,,0.64,329.17,281.85,14.38%,-2.74%,20.34%,6.47%,25.39%,2.65,71.57,-0.29%,-0.74%,-0.33%,0.42%,1.69%,3.53%,5.72%,7.42%,8.03%,6.87%,18.44%,35.55%,47.91%,229.95%,67.74%,183.25%,0.45,18.03%,8.08%,35.49%,26.79%,68.04%,7.23%,-3.95%,26971.56,2.37,7867670,5.83,5.60,6.06,5.60,6.01,3.00%,,
59,"T","AT&T, Inc.","Communication Services","Telecom Services","USA",136591.73,10.21,0.50,7170.17,7161.94,0.11%,0.00%,59.07%,-0.90%,1.57%,3.37,112.27,0.08%,0.08%,0.13%,0.08%,0.18%,0.21%,0.48%,0.85%,1.44%,1.33%,1.65%,7.99%,18.40%,15.88%,40.80%,13.53%,0.29,1.55%,1.51%,2.17%,5.95%,13.11%,0.69%,0.37%,33363.63,2.18,8953295,18.85,18.92,19.06,18.91,19.05,1.06%,,
60,"TDOC","Teladoc Health Inc","Healthcare","Health Information Services","USA",1790.02,,6.47,169.59,167.31,1.34%,-10.67%,76.85%,-3.00%,18.21%,5.32,30.47,0.15%,0.43%,-0.31%,-0.71%,0.24%,1.69%,4.92%,4.61%,5.85%,4.50%,17.93%,5.55%,-19.61%,-47.72%,-57.71%,-51.02%,0.47,5.08%,4.55%,9.74%,-2.40%,-33.56%,5.34%,-0.69%,5729.30,2.16,1524334,10.09,10.02,10.66,10.01,10.56,4.61%,,
61,"TKNO","Alpha Teknova Inc","Healthcare","Drug Manufacturers - Specialty & Generic","USA",60.41,,0.53,40.79,10.40,74.53%,67.20%,14.67%,-1.24%,1.37%,4.16,0.14,-1.33%,-1.33%,-1.33%,-1.33%,-6.62%,-2.63%,4.96%,4.17%,4.23%,2.07%,21.31%,-12.94%,-43.08%,-48.07%,-58.31%,-60.32%,0.13,7.40%,9.24%,10.88%,-8.48%,-38.78%,2.07%,7.41%,34.10,176.38,740290,1.35,1.45,1.65,1.41,1.48,9.63%,,
62,"U","Unity Software Inc","Technology","Software - Application","USA",7119.51,,3.02,384.87,284.46,27.22%,-0.60%,53.35%,-0.34%,10.68%,3.49,30.38,0.03%,-0.08%,-0.11%,-0.25%,-0.02%,1.17%,2.27%,5.60%,5.51%,4.68%,18.43%,11.07%,-23.91%,-46.58%,-60.47%,-55.45%,0.81,5.11%,4.49%,12.25%,-2.39%,-33.12%,4.89%,-1.61%,8716.12,2.38,2557337,17.65,17.36,18.33,17.48,18.22,3.20%,,
63,"USB","U.S. Bancorp.","Financial","Banks - Regional","USA",70283.12,14.94,,1557.99,1557.03,0.22%,-4.28%,79.50%,-0.66%,1.10%,2.13,17.11,-0.24%,-0.02%,-0.10%,-0.22%,-0.31%,0.24%,1.22%,3.54%,2.98%,3.54%,10.39%,15.99%,9.85%,8.84%,27.74%,4.07%,0.97,2.15%,2.04%,11.96%,11.72%,13.18%,2.46%,1.55%,8023.53,3.44,3393498,43.29,43.96,45.36,43.80,45.04,4.04%,,
64,"VERB","Verb Technology Company Inc","Technology","Software - Application","USA",12.59,,0.14,104.37,103.70,0.64%,0.00%,0.43%,1.15%,2.53%,0.18,2.62,-0.08%,-0.50%,-0.25%,-1.31%,-1.95%,-0.50%,-8.64%,-6.51%,3.61%,3.08%,1.77%,-1.15%,-31.28%,-7.23%,-89.78%,-29.92%,0.01,4.38%,6.16%,0.52%,-11.03%,-44.54%,-7.23%,11.68%,14584.16,31.83,57132776,0.12,0.13,0.14,0.12,0.12,3.61%,,
65,"VERU","Veru Inc","Healthcare","Biotechnology","USA",163.21,,0.24,146.38,125.96,13.95%,-1.10%,36.33%,-6.50%,8.31%,4.68,10.47,0.00%,-0.89%,-0.89%,-0.89%,-0.89%,0.45%,3.72%,8.25%,8.25%,8.25%,26.56%,37.10%,-11.16%,168.16%,-11.51%,54.86%,0.09,9.19%,9.83%,28.02%,4.43%,29.03%,4.21%,2.88%,2237.14,2.36,649636,1.04,1.07,1.13,1.06,1.12,7.21%,,
66,"VFC","VF Corp.","Consumer Cyclical","Apparel Manufacturing","USA",6008.57,,1.74,388.84,366.96,5.67%,0.90%,91.94%,0.46%,13.54%,6.39,49.70,0.06%,0.03%,0.95%,1.28%,2.73%,2.93%,3.04%,-0.99%,1.75%,4.36%,21.23%,13.23%,22.87%,0.10%,-19.18%,-17.85%,0.62,3.88%,3.90%,13.81%,17.31%,0.66%,2.08%,6.40%,7775.51,5.29,5064367,14.22,15.13,15.49,14.81,15.44,8.61%,,
67,"VLY","Valley National Bancorp","Financial","Banks - Regional","USA",4103.99,9.51,,507.71,500.63,1.68%,-1.15%,64.41%,0.19%,8.23%,7.97,41.21,-0.19%,-0.25%,-0.62%,-0.74%,-0.49%,0.31%,2.68%,1.90%,3.33%,3.33%,15.31%,23.62%,11.94%,-19.80%,-4.95%,-25.78%,0.27,3.97%,3.09%,16.76%,12.73%,-3.11%,3.20%,-1.26%,5173.50,2.36,1505195,7.91,7.81,8.16,7.78,8.06,1.90%,,
68,"WBD","Warner Bros. Discovery Inc","Communication Services","Entertainment","USA",20264.06,,1.41,2439.00,2217.09,9.52%,0.04%,62.12%,-0.00%,5.81%,4.50,128.73,0.06%,0.24%,0.30%,0.18%,0.36%,0.61%,3.05%,4.29%,4.65%,4.16%,12.98%,14.23%,1.60%,-20.10%,-32.82%,-27.33%,0.27,3.60%,3.22%,13.56%,7.11%,-11.78%,4.16%,-0.50%,28590.93,2.02,7102279,7.98,7.94,8.30,7.92,8.27,3.63%,,
69,"ZETA","Zeta Global Holdings Corp","Technology","Software - Application","USA",4423.93,,0.65,188.63,175.87,19.62%,0.00%,56.88%,12.33%,6.15%,4.17,10.81,-0.30%,-0.49%,-0.39%,-0.65%,-0.79%,0.65%,-3.25%,-7.92%,-4.59%,-8.92%,21.73%,26.06%,73.12%,116.03%,118.36%,129.25%,0.78,4.22%,3.73%,18.30%,21.35%,77.91%,-2.84%,3.17%,2594.20,2.67,853994,20.17,20.81,20.99,19.94,20.22,0.25%,,
