"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Cash/sh","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Short Interest","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change"
12,"BIRD","Allbirds Inc","Consumer Cyclical","Apparel Retail","USA",110.21,,0.65,102.58,102.03,35.20%,-0.06%,23.85%,3.14%,9.82%,7.40,10.01,-0.71%,-2.19%,-2.28%,1.17%,1.52%,3.26%,3.09%,3.09%,4.48%,13.84%,37.50%,24.00%,12.38%,-31.37%,-45.74%,-42.86%,0.07,17.93%,10.30%,27.42%,18.28%,-16.04%,4.33,621255,0.60,0.65,0.72,0.65,0.70,16.71%
13,"BITO","ProShares Bitcoin Strategy ETF","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,0.07%,0.18%,0.16%,0.05%,0.02%,0.27%,0.07%,0.35%,0.71%,0.52%,11.46%,-13.55%,-24.74%,-1.32%,29.31%,7.54%,0.90,2.65%,2.76%,-1.46%,-10.95%,-4.19%,3.28,3002305,20.22,22.00,22.06,21.89,22.03,8.98%
14,"BITU","ProShares Ultra Bitcoin ETF","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,0.16%,0.37%,0.17%,0.05%,-0.01%,0.55%,0.16%,0.65%,1.51%,1.15%,22.64%,-16.80%,-20.59%,,,-19.95%,2.26,5.23%,5.48%,2.65%,-8.88%,-11.65%,8.66,768286,24.32,28.60,28.81,28.36,28.75,18.20%
15,"BITX","2x Bitcoin Strategy ETF","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,0.05%,0.29%,0.24%,0.09%,0.06%,0.58%,0.30%,0.71%,1.25%,1.01%,22.57%,-19.78%,-26.09%,27.91%,110.37%,49.82%,2.75,5.33%,5.62%,1.33%,-12.23%,9.38%,4.41,2513080,28.92,34.05,34.18,33.66,34.10,17.91%
16,"BTBT","Bit Digital Inc","Financial","Capital Markets","USA",482.79,13.11,1.42,121.00,120.26,0.61%,0.00%,34.46%,-41.89%,19.01%,2.63,22.86,0.38%,0.25%,-0.25%,-0.13%,-0.13%,1.27%,-1.72%,-1.48%,-0.99%,-1.97%,5.84%,45.62%,93.69%,26.27%,-9.52%,-5.67%,0.31,9.38%,10.32%,25.21%,45.71%,51.58%,3.96,3652461,3.80,4.03,4.05,3.90,3.99,5.00%
17,"BTDR","Bitdeer Technologies Holding Co","Technology","Software - Application","Hong Kong",1581.48,,0.92,63.57,21.26,84.70%,0.00%,3.28%,-0.06%,12.92%,1.70,2.75,0.09%,0.00%,0.33%,-0.52%,0.71%,-1.22%,1.52%,1.61%,2.49%,1.79%,-8.37%,39.46%,88.41%,58.28%,-17.18%,15.42%,1.12,11.97%,12.92%,9.95%,45.10%,65.22%,2.95,506757,10.57,11.13,11.67,11.02,11.38,7.66%
18,"CHX","ChampionX Corp.","Energy","Oil & Gas Equipment & Services","USA",6265.15,17.87,2.03,191.10,188.92,0.79%,-1.77%,103.08%,-0.75%,2.56%,2.53,4.83,0.21%,0.18%,0.34%,0.46%,0.30%,-0.36%,-0.39%,-0.39%,-0.39%,-0.39%,1.57%,3.95%,-11.61%,23.45%,-3.29%,12.63%,0.71,1.81%,2.24%,1.98%,0.67%,3.46%,5.12,1037683,32.68,32.92,33.05,32.70,32.90,0.67%
19,"CIFR","Cipher Mining Inc","Financial","Capital Markets","USA",1554.80,103.62,0.68,290.96,192.19,38.01%,-6.62%,16.66%,-2.08%,11.55%,2.66,22.21,0.70%,0.72%,0.60%,0.21%,0.10%,1.31%,1.93%,2.14%,2.35%,2.14%,8.55%,9.74%,31.11%,42.88%,-3.74%,21.43%,0.41,7.79%,9.40%,9.12%,18.89%,40.39%,2.20,1948377,4.68,4.94,5.05,4.87,5.01,7.16%
20,"CLF","Cleveland-Cliffs Inc","Basic Materials","Steel","USA",7764.59,21.76,0.06,504.89,465.48,2.10%,-1.53%,69.80%,6.76%,7.56%,3.82,35.21,0.12%,0.43%,0.72%,0.96%,0.37%,-0.49%,3.55%,5.35%,3.62%,5.70%,5.56%,8.36%,-24.54%,-10.57%,-4.73%,-20.03%,0.47,2.50%,2.81%,7.43%,0.53%,-9.72%,3.89,3807729,16.17,15.78,16.46,15.79,16.33,0.99%
21,"CLOV","Clover Health Investments Corp","Healthcare","Healthcare Plans","USA",764.07,,,393.27,375.13,24.44%,0.88%,18.01%,-0.02%,9.37%,5.87,35.16,0.27%,1.93%,-1.02%,-1.60%,-0.38%,0.70%,1.93%,0.59%,-0.06%,0.59%,15.72%,46.58%,129.68%,57.08%,57.34%,61.65%,0.09,6.49%,7.37%,23.33%,44.04%,61.85%,2.44,1552577,1.51,1.51,1.58,1.51,1.54,1.93%
22,"CLSK","Cleanspark Inc","Financial","Capital Markets","USA",3848.27,126.98,2.99,227.87,220.35,3.30%,-13.49%,43.88%,4.32%,16.66%,1.22,36.72,0.46%,0.70%,0.29%,-0.48%,-0.51%,-0.13%,-0.37%,0.05%,0.94%,1.31%,9.52%,-2.10%,13.72%,82.38%,126.08%,53.11%,1.28,6.23%,7.76%,0.60%,1.43%,37.41%,2.62,8364023,15.85,16.94,17.11,16.73,16.89,6.55%
23,"CONL","GraniteShares 2x Long COIN Daily ETF","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,0.60%,0.05%,-0.52%,-1.62%,-1.56%,-0.12%,5.00%,5.43%,5.74%,4.83%,12.53%,-18.10%,-22.57%,103.34%,174.24%,47.14%,5.24,8.35%,9.53%,5.25%,1.50%,34.89%,6.22,1634426,43.19,47.70,51.31,47.28,49.94,15.63%
24,"CONY","YieldMax COIN Option Income Strategy ETF","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,-0.05%,0.15%,-0.25%,-0.55%,-0.50%,-0.50%,0.00%,0.41%,0.56%,0.20%,3.93%,-12.57%,-23.86%,-9.41%,,-31.39%,0.95,3.55%,3.88%,-2.40%,-8.85%,-13.41%,5.03,599370,19.04,19.80,19.95,19.66,19.82,4.10%
25,"CORZ","Core Scientific Inc","Technology","Software - Infrastructure","USA",1919.67,102.55,0.64,386.88,145.91,17.93%,1.11%,28.02%,,22.62%,3.20,33.00,0.35%,-1.28%,-1.70%,-1.92%,-3.42%,0.54%,0.07%,2.27%,1.77%,2.16%,4.23%,12.83%,258.74%,,,213.90%,0.88,11.31%,9.83%,11.52%,58.15%,123.02%,4.69,5128575,10.10,10.75,11.22,10.56,10.80,6.91%
26,"CPOP","Pop Culture Group Co Ltd","Communication Services","Entertainment","China",5.55,,0.79,18.29,2.83,28.25%,0.00%,0.46%,,4.47%,0.06,0.13,-0.02%,2.18%,2.87%,2.15%,-0.02%,2.71%,-10.78%,-10.78%,-12.98%,-20.36%,17.47%,4.42%,-30.56%,35.55%,-68.39%,31.75%,0.19,10.20%,13.85%,7.90%,-9.00%,-29.41%,23.25,4881749,1.29,1.56,1.59,1.35,1.41,9.28%
27,"CTXR","Citius Pharmaceuticals Inc","Healthcare","Biotechnology","USA",133.73,,0.07,180.67,168.37,6.81%,0.00%,14.92%,-6.74%,8.41%,6.65,14.15,-0.24%,-0.51%,-0.50%,-0.04%,-0.51%,-1.19%,1.22%,1.38%,0.01%,0.01%,22.98%,14.56%,-6.04%,-0.09%,-38.83%,-2.15%,0.06,11.89%,9.42%,18.61%,13.65%,1.53%,3.25,733584,0.73,0.74,0.77,0.73,0.74,0.86%
28,"CYBN","Cybin Inc","Healthcare","Biotechnology","Canada",254.54,,0.20,759.69,695.84,8.45%,0.00%,42.25%,,2.79%,4.69,19.38,0.57%,0.36%,0.75%,1.39%,0.87%,2.01%,3.68%,3.46%,4.66%,4.66%,26.62%,12.01%,-8.50%,-20.26%,-27.98%,-18.32%,0.02,9.40%,7.33%,23.04%,6.75%,-16.66%,2.44,1070169,0.32,0.32,0.34,0.32,0.33,4.66%
29,"DATS","DatChat Inc","Technology","Software - Application","USA",5.81,,2.02,3.01,2.73,9.19%,0.00%,1.43%,,2.49%,0.44,0.07,1.04%,4.88%,5.45%,7.21%,10.28%,0.77%,-3.99%,-11.88%,-11.48%,-18.92%,78.69%,49.60%,66.35%,-23.12%,-61.40%,-32.76%,0.15,4.38%,6.00%,65.09%,49.66%,18.09%,2157.28,35775836,1.04,1.96,2.06,1.73,1.93,85.56%
30,"DJT","Trump Media & Technology Group Corp.","Communication Services","Internet Content & Information","USA",7636.54,,1.44,189.94,47.29,75.10%,0.00%,1.19%,3.55%,11.04%,0.76,5.22,1.02%,0.89%,1.94%,-0.59%,-0.56%,-1.86%,-14.37%,-12.75%,-11.25%,-15.27%,32.60%,-1.77%,23.37%,137.62%,208.08%,129.74%,4.19,6.09%,10.69%,23.54%,-3.61%,26.01%,46.77,33882219,30.89,46.25,46.26,38.06,40.21,30.16%
31,"ENVB","Enveric Biosciences Inc","Healthcare","Biotechnology","USA",4.31,,0.80,7.95,7.81,1.81%,0.00%,6.14%,-6.53%,1.95%,0.31,0.15,1.36%,1.34%,-1.33%,-1.35%,1.80%,-6.50%,-8.03%,3.35%,-1.35%,2.38%,6.39%,-28.68%,-46.28%,-57.44%,-81.16%,-58.26%,0.06,12.79%,10.21%,-8.95%,-26.37%,-54.67%,41.13,2124049,0.52,0.58,0.65,0.53,0.54,5.11%
32,"GEO","Geo Group, Inc.","Industrials","Security & Protection Services","USA",2379.97,25.86,0.93,136.31,129.36,5.06%,0.50%,77.81%,-7.81%,7.99%,4.38,10.33,0.21%,-0.09%,0.14%,0.17%,-0.85%,-0.62%,3.25%,2.77%,1.36%,0.98%,15.94%,36.41%,13.60%,59.02%,134.99%,61.22%,0.67,3.27%,4.02%,24.08%,25.12%,46.30%,6.12,1530092,15.94,17.59,17.80,17.23,17.46,9.54%
33,"GNS","Genius Group Ltd","Consumer Defensive","Education & Training Services","Singapore",48.79,,0.01,186.14,176.40,5.23%,0.00%,1.11%,,1.65%,0.92,2.91,-1.21%,-1.09%,-3.25%,-1.43%,-7.87%,-9.62%,-15.15%,-7.25%,-12.60%,-12.60%,3.19%,-6.73%,-41.53%,-48.91%,-63.16%,-60.46%,0.03,7.15%,7.97%,1.34%,-15.51%,-46.78%,28.39,9576995,0.25,0.30,0.32,0.26,0.26,5.52%
34,"GRNQ","Greenpro Capital Corp","Industrials","Consulting Services","Malaysia",8.80,13.78,0.22,7.58,4.06,45.94%,0.00%,1.09%,75.36%,0.39%,1.50,0.02,-0.90%,-10.00%,-8.24%,-7.87%,14.73%,14.73%,34.48%,34.48%,34.48%,34.48%,19.38%,14.71%,-7.14%,-11.36%,-37.10%,-0.85%,0.12,6.43%,9.29%,16.75%,7.99%,1.43%,492.11,553864,0.87,0.87,1.35,0.92,1.17,34.02%
35,"HIVE","HIVE Digital Technologies Ltd.","Financial","Capital Markets","Canada",386.50,,1.70,106.08,104.09,0.49%,0.00%,32.97%,,5.24%,1.58,5.46,0.41%,0.27%,-0.14%,-0.68%,0.27%,0.14%,-1.17%,-0.67%,-0.94%,0.41%,8.04%,23.99%,29.65%,-8.99%,-44.35%,-18.43%,0.27,8.04%,9.23%,15.31%,30.77%,13.50%,2.40,877083,3.52,3.71,3.75,3.66,3.69,4.97%
36,"HOOD","Robinhood Markets Inc","Financial","Capital Markets","USA",20801.61,162.68,7.63,745.40,550.12,37.40%,-1.25%,45.79%,4.22%,6.24%,2.01,34.32,0.12%,0.38%,-0.13%,-0.00%,0.63%,1.06%,2.60%,2.91%,3.68%,3.72%,7.15%,-0.13%,31.72%,102.13%,90.12%,85.79%,1.03,4.16%,4.08%,5.87%,13.52%,60.18%,2.81,5086611,22.28,23.01,23.78,22.76,23.67,6.24%
37,"HUMA","Humacyte Inc","Healthcare","Biotechnology","USA",950.26,,0.97,103.67,91.98,22.76%,-10.97%,19.50%,-9.29%,8.97%,2.85,8.25,0.31%,1.14%,0.88%,2.33%,5.43%,5.69%,2.70%,3.23%,5.00%,9.92%,40.74%,8.72%,177.08%,195.56%,150.16%,180.99%,0.65,9.85%,9.66%,40.72%,30.35%,110.43%,5.77,1772434,6.99,7.50,7.98,7.28,7.98,14.16%
38,"HUT","Hut 8 Corp","Financial","Capital Markets","USA",1654.59,11.34,0.15,88.96,80.09,11.40%,-0.52%,30.23%,,10.57%,1.84,8.47,0.03%,0.09%,1.41%,-0.19%,0.83%,1.35%,0.52%,1.30%,2.55%,3.24%,4.72%,67.47%,137.11%,62.86%,-18.10%,37.22%,1.43,11.41%,10.51%,26.59%,63.31%,83.41%,3.65,1779482,16.96,18.19,18.70,17.96,18.31,7.93%
39,"IBIT","iShares Bitcoin Trust Beneficial Interest","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,0.07%,0.17%,0.14%,0.08%,0.04%,0.33%,0.13%,0.44%,0.75%,0.56%,11.53%,-6.71%,-5.96%,34.69%,,34.69%,1.42,2.67%,2.73%,2.84%,-1.95%,4.17%,2.09,5708513,32.85,35.79,35.91,35.61,35.87,9.19%
40,"IONQ","IonQ Inc","Technology","Computer Hardware","USA",1824.90,,1.78,206.61,180.13,14.81%,-0.04%,35.95%,-1.22%,19.48%,7.31,35.09,0.12%,0.12%,0.01%,-0.46%,0.70%,0.08%,1.47%,1.29%,1.17%,1.17%,12.52%,8.55%,7.47%,-25.35%,-40.32%,-30.35%,0.45,7.62%,5.77%,17.39%,7.44%,-18.04%,2.01,1022934,8.45,8.51,8.69,8.45,8.63,2.13%
41,"IREN","Iris Energy Ltd","Financial","Capital Markets","Australia",2347.61,,1.40,184.88,164.78,10.87%,0.00%,15.99%,-1.50%,3.68%,0.42,6.06,0.42%,0.38%,0.22%,-0.52%,-0.87%,-2.55%,-2.16%,-1.41%,-1.95%,-0.64%,-13.21%,-6.29%,173.08%,110.23%,63.85%,77.59%,1.49,17.87%,12.49%,-3.70%,32.35%,110.00%,2.30,3501177,12.31,12.95,13.14,12.60,12.70,3.15%
42,"IVP","Inspire Veterinary Partners Inc.","Consumer Cyclical","Personal Services","USA",13.26,,0.07,,0.95,4.58%,0.00%,1.24%,,39.57%,0.12,0.38,0.00%,0.00%,0.00%,-10.53%,-7.97%,-7.97%,25.57%,25.09%,18.08%,43.35%,346.46%,644.94%,160.51%,-25.71%,,-61.53%,1.73,97.88%,46.67%,401.61%,368.70%,-55.57%,4.88,1618906,10.57,10.40,14.82,10.40,13.26,25.45%
43,"JOBY","Joby Aviation Inc","Industrials","Airports & Air Services","USA",4824.48,,1.31,698.26,378.19,46.62%,-0.34%,30.89%,0.23%,19.15%,12.99,72.41,1.04%,1.06%,1.04%,0.91%,2.27%,2.71%,-0.87%,-0.72%,0.44%,1.34%,30.71%,32.49%,47.40%,13.69%,-35.51%,2.41%,0.30,7.10%,5.55%,31.71%,33.48%,21.43%,4.11,2429805,6.61,6.79,6.85,6.61,6.81,3.03%
44,"LAZR","Luminar Technologies Inc","Consumer Cyclical","Auto Parts","USA",862.27,,0.49,322.74,310.02,30.43%,0.00%,26.95%,1.61%,26.41%,9.82,81.88,0.00%,1.71%,1.84%,1.79%,3.20%,2.11%,-1.91%,-1.24%,-3.30%,-2.81%,25.24%,33.45%,48.85%,-31.50%,-74.40%,-42.58%,0.13,8.64%,8.18%,28.46%,22.60%,-20.68%,2.17,1919640,1.91,1.96,1.97,1.88,1.93,1.04%
45,"LILM","Lilium N.V","Industrials","Aerospace & Defense","Germany",583.02,,0.36,503.47,320.79,45.95%,0.00%,1.96%,-1.06%,7.22%,6.37,23.17,0.05%,0.06%,-0.06%,0.04%,-0.21%,-0.38%,-3.69%,-2.73%,-4.62%,-4.62%,16.04%,16.48%,10.33%,12.58%,-42.21%,-16.75%,0.06,7.42%,6.06%,19.42%,4.76%,6.80%,3.81,1470488,0.98,1.02,1.02,0.98,0.98,0.75%
46,"LYG","Lloyds Banking Group plc ADR","Financial","Banks - Regional","United Kingdom",47153.10,,,15877.00,15583.50,0.03%,0.00%,2.36%,9.07%,0.09%,1.44,13.28,0.00%,-0.08%,0.00%,0.00%,0.00%,0.00%,0.00%,0.17%,-0.17%,-0.17%,1.17%,9.60%,22.47%,32.10%,29.83%,26.57%,0.06,1.15%,1.40%,6.72%,8.88%,26.38%,3.97,3894640,3.02,3.02,3.03,3.01,3.03,0.17%
47,"MARA","Marathon Digital Holdings Inc","Financial","Capital Markets","USA",6002.39,9.04,5.71,272.96,270.84,0.77%,-0.48%,41.21%,-2.90%,26.02%,1.53,70.47,0.55%,0.66%,0.55%,-0.14%,0.43%,0.73%,-0.27%,0.18%,0.69%,1.20%,12.77%,8.27%,36.50%,-1.83%,13.94%,-6.39%,1.50,6.54%,6.80%,10.09%,11.04%,24.22%,2.43,11874040,20.77,21.92,22.16,21.56,21.99,5.87%
48,"MBLY","Mobileye Global Inc","Consumer Cyclical","Auto Parts","Israel",21672.00,,1.54,94.65,91.67,88.63%,0.00%,14.35%,,18.93%,5.17,17.35,-0.20%,0.21%,0.58%,0.67%,0.73%,-0.20%,-2.98%,-2.87%,-0.46%,0.28%,-3.40%,-8.40%,-15.27%,-13.39%,-37.76%,-37.96%,1.33,4.53%,5.01%,-1.64%,-3.36%,-16.61%,2.81,998547,26.46,27.46,27.35,26.31,26.88,1.57%
49,"ME","23andMe Holding Co","Healthcare","Diagnostics & Research","USA",241.94,,0.44,323.39,285.56,41.75%,-0.15%,19.70%,7.02%,10.83%,5.40,30.93,0.84%,-0.52%,-0.86%,-1.95%,-2.51%,-1.30%,-10.24%,-10.60%,-6.89%,-6.46%,15.79%,19.75%,11.35%,-30.39%,-73.03%,-45.98%,0.04,7.61%,7.47%,16.60%,4.08%,-25.08%,2.20,1336534,0.48,0.54,0.54,0.49,0.49,2.20%
50,"MIRA","Mira Pharmaceuticals Inc","Healthcare","Drug Manufacturers - General","USA",12.12,,0.24,14.78,9.75,34.05%,0.17%,4.20%,,0.16%,0.14,0.02,-1.44%,1.62%,0.22%,3.57%,1.03%,-15.68%,-10.43%,-16.33%,-26.13%,30.43%,49.69%,10.81%,-8.94%,-16.74%,,-21.90%,0.09,11.12%,7.87%,26.16%,11.72%,-45.64%,1712.82,20749682,0.59,0.88,0.98,0.75,0.82,39.17%
51,"MWG","Multi Ways Holdings Ltd","Industrials","Rental & Leasing Services","Singapore",18.43,,,30.84,10.26,66.75%,0.00%,0.31%,,0.40%,0.05,0.04,1.01%,1.01%,5.85%,-2.81%,-10.53%,-11.44%,-5.91%,-0.25%,1.48%,11.85%,33.04%,58.07%,90.89%,121.71%,-2.83%,165.91%,0.09,24.24%,19.13%,59.60%,66.89%,85.77%,40.72,3626566,0.53,0.62,0.78,0.55,0.60,12.12%
52,"NAK","Northern Dynasty Minerals Ltd.","Basic Materials","Other Industrial Metals & Mining","Canada",195.41,,0.02,538.48,526.75,2.04%,0.00%,13.83%,0.07%,1.25%,6.60,6.60,0.39%,-0.19%,-0.19%,-0.30%,0.61%,0.89%,-3.56%,-4.37%,3.39%,3.39%,14.13%,28.18%,3.83%,28.87%,42.57%,12.40%,0.02,6.56%,5.52%,19.85%,20.69%,19.26%,7.54,780738,0.34,0.35,0.36,0.35,0.36,6.82%
53,"NVD","GraniteShares 2x Short NVDA Daily ETF","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,-0.00%,-0.50%,-0.49%,0.72%,1.27%,1.56%,3.63%,3.61%,3.63%,2.56%,-1.96%,-9.91%,-61.83%,-87.62%,,-89.50%,0.20,8.14%,8.76%,-3.89%,-34.19%,-84.35%,2.52,5074318,1.98,1.91,2.02,1.91,2.00,1.01%
54,"OKLO","Oklo Inc.","Utilities","Utilities - Regulated Electric","USA",1059.80,46.42,0.00,122.10,69.37,43.19%,0.00%,19.48%,0.29%,7.99%,1.47,5.54,0.29%,0.11%,0.24%,0.64%,0.29%,1.22%,-3.98%,-4.20%,-4.09%,-3.66%,16.98%,-14.90%,-31.98%,-18.42%,-16.22%,-17.80%,0.92,11.92%,10.49%,0.26%,-11.52%,-18.51%,2.88,1149986,8.61,8.90,8.90,8.54,8.68,0.81%
55,"OPEN","Opendoor Technologies Inc","Real Estate","Real Estate Services","USA",1632.06,,1.91,677.64,560.46,18.96%,-1.41%,55.78%,-3.59%,15.00%,5.41,84.07,0.43%,0.64%,2.16%,2.83%,4.19%,4.42%,-0.84%,-0.43%,-0.84%,-0.00%,30.38%,5.83%,0.85%,-33.71%,-51.14%,-47.32%,0.14,7.60%,7.19%,23.98%,12.35%,-13.57%,3.36,5545659,2.26,2.36,2.37,2.24,2.36,4.42%
56,"OPTT","Ocean Power Technologies","Industrials","Specialty Industrial Machinery","USA",35.16,,0.10,90.46,85.17,5.84%,0.00%,3.92%,-13.16%,11.17%,0.33,9.51,0.03%,-0.33%,-0.36%,-0.26%,1.78%,-1.37%,-2.58%,-0.33%,6.35%,7.38%,-2.85%,153.72%,63.39%,26.08%,-36.81%,23.01%,0.06,19.73%,21.78%,51.87%,83.25%,38.48%,3.81,11735237,0.37,0.39,0.41,0.38,0.39,6.03%
57,"OXLC","Oxford Lane Capital Corp","Financial","Closed-End Fund - Debt","USA",1400.62,5.02,,249.00,241.57,0.19%,,5.04%,,0.74%,0.49,1.78,0.00%,-0.09%,-0.17%,-0.25%,0.00%,-0.53%,-0.09%,-0.09%,0.31%,-0.09%,0.63%,0.09%,11.17%,10.29%,9.86%,13.87%,0.08,1.42%,1.30%,2.51%,3.75%,9.70%,2.46,939653,5.58,5.62,5.66,5.59,5.62,0.81%
