"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Cash/sh","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Short Interest","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open","Gap","Average Volume","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change","After-Hours Close","After-Hours Change"
11,"CFG","Citizens Financial Group Inc","Financial","Banks - Regional","USA",18580.74,14.76,,466.42,451.24,0.83%,-0.29%,94.99%,-0.02%,2.06%,1.99,9.31,0.26%,-0.35%,-0.05%,0.37%,1.76%,4.80%,6.48%,6.06%,3.12%,10.36%,11.33%,19.86%,26.00%,30.88%,45.42%,23.22%,0.95,2.17%,2.11%,13.24%,14.70%,27.77%,4.44%,-1.26%,4681.06,3.14,1270156,39.60,39.10,41.00,38.88,40.83,3.12%,,
12,"CHRS","Coherus Biosciences Inc","Healthcare","Biotechnology","USA",209.38,,2.26,112.22,110.09,4.04%,0.00%,69.93%,-1.48%,20.92%,13.92,23.04,0.81%,-0.30%,-0.27%,-1.35%,1.39%,2.25%,2.25%,1.39%,1.39%,1.39%,27.62%,7.99%,-15.12%,-22.34%,-58.24%,-45.20%,0.13,8.72%,8.18%,16.09%,1.14%,-22.31%,2.53%,-1.11%,1654.37,3.62,517881,1.80,1.78,1.86,1.71,1.83,1.39%,,
13,"CHX","ChampionX Corp.","Energy","Oil & Gas Equipment & Services","USA",6581.26,18.77,2.03,191.10,188.92,0.79%,-1.77%,103.08%,-0.75%,2.56%,2.49,4.83,-0.06%,0.12%,0.35%,0.09%,0.14%,-0.52%,-0.46%,-0.46%,-0.69%,-0.69%,8.65%,14.47%,-5.68%,32.67%,0.67%,18.32%,0.81,2.88%,2.41%,5.93%,5.64%,8.76%,-0.12%,0.23%,1936.91,11.16,1870129,34.52,34.60,34.79,34.29,34.56,0.12%,,
14,"CIFR","Cipher Mining Inc","Financial","Capital Markets","USA",2129.91,141.94,0.68,290.96,192.19,38.01%,-6.62%,16.62%,-2.08%,11.55%,2.53,22.21,-0.29%,0.63%,0.44%,-1.15%,-0.94%,1.93%,4.25%,3.00%,4.25%,0.73%,55.08%,38.79%,104.46%,136.90%,44.33%,66.34%,0.50,11.87%,10.22%,45.03%,58.99%,90.15%,3.93%,-2.51%,8768.01,2.30,1743248,6.78,6.61,7.07,6.58,6.87,1.33%,,
15,"CORZ","Core Scientific Inc","Technology","Software - Infrastructure","USA",2144.04,114.53,0.64,386.88,145.91,17.93%,1.11%,28.02%,,22.62%,3.07,33.00,0.67%,0.67%,0.25%,-0.33%,4.69%,5.70%,4.42%,4.86%,4.24%,2.20%,23.44%,16.75%,343.39%,,,250.58%,0.89,7.37%,9.10%,22.94%,68.49%,143.62%,5.37%,-2.18%,10763.22,2.95,2752017,11.70,11.44,12.23,11.26,12.06,3.08%,,
16,"CTXR","Citius Pharmaceuticals Inc","Healthcare","Biotechnology","USA",158.81,,0.07,180.67,168.37,6.81%,0.00%,14.92%,-6.74%,8.41%,6.43,14.15,-0.10%,-0.06%,1.02%,1.03%,0.16%,-1.68%,-0.11%,-2.10%,1.38%,1.38%,17.86%,40.51%,17.23%,17.20%,-29.11%,16.19%,0.06,11.38%,9.92%,36.88%,34.21%,20.34%,-1.18%,4.65%,2201.69,3.04,578648,0.85,0.89,0.89,0.86,0.88,3.41%,,
17,"DJT","Trump Media & Technology Group Corp.","Communication Services","Internet Content & Information","USA",7243.99,,1.44,189.94,47.29,75.10%,0.00%,1.19%,3.55%,11.04%,0.64,5.22,0.59%,-0.11%,0.39%,-1.75%,-0.98%,2.63%,5.06%,5.49%,6.09%,4.78%,32.42%,2.94%,66.98%,70.64%,187.84%,117.93%,4.13,9.13%,11.58%,17.10%,-7.84%,18.70%,4.43%,-1.00%,8183.67,5.28,3737728,36.89,36.52,39.20,36.31,38.14,3.38%,,
18,"EOSE","Eos Energy Enterprises Inc","Industrials","Electrical Equipment & Parts","USA",428.35,,0.16,216.49,211.08,2.50%,0.09%,43.81%,-2.38%,20.62%,5.35,43.52,-0.07%,0.40%,0.42%,-0.82%,1.99%,3.59%,6.95%,4.13%,5.81%,4.69%,-3.95%,142.95%,143.94%,156.16%,-44.73%,81.52%,0.20,13.94%,15.33%,29.06%,87.39%,71.07%,6.95%,-5.13%,8135.49,2.55,1798648,1.95,1.85,2.01,1.85,1.98,1.47%,,
19,"FUBO","fuboTV Inc","Communication Services","Broadcasting","USA",458.82,,0.56,299.22,285.71,4.73%,-0.50%,37.80%,-5.42%,15.22%,5.01,43.49,-0.65%,-0.97%,-1.61%,-0.65%,0.66%,6.99%,6.26%,6.99%,6.25%,6.25%,27.50%,29.66%,11.68%,-42.48%,-48.48%,-51.89%,0.08,6.64%,5.62%,23.49%,21.18%,-26.75%,6.62%,0.35%,8685.02,4.56,3429289,1.43,1.43,1.57,1.43,1.53,6.99%,,
20,"GDTC","CytoMed Therapeutics Ltd","Healthcare","Biotechnology","Singapore",23.77,,0.59,11.53,4.73,59.01%,0.00%,0.00%,,0.83%,9.36,0.04,0.17%,0.00%,-0.00%,0.98%,-4.28%,-11.58%,-15.57%,-11.21%,-31.56%,-6.36%,-4.19%,-0.96%,0.00%,-54.63%,-63.48%,-57.96%,0.12,6.54%,3.57%,1.69%,-0.15%,-29.29%,-9.25%,15.82%,4.19,8102.69,2938958,1.96,2.27,2.36,2.00,2.06,5.10%,,
21,"GTES","Gates Industrial Corporation plc","Industrials","Specialty Industrial Machinery","USA",4578.07,19.21,2.00,264.26,207.09,20.77%,-70.87%,75.69%,-0.16%,3.34%,2.63,6.92,0.20%,0.63%,0.55%,0.11%,-0.48%,-1.38%,-1.66%,-1.93%,-2.80%,-3.97%,14.85%,8.92%,1.01%,31.59%,30.61%,30.51%,0.43,2.75%,2.15%,10.50%,6.24%,21.11%,-1.93%,5.24%,2631.99,4.84,1102626,16.97,17.86,17.86,17.35,17.51,3.21%,,
22,"HE","Hawaiian Electric Industries, Inc.","Utilities","Utilities - Regulated Electric","USA",1390.88,7.44,4.56,110.15,109.90,0.36%,0.00%,58.50%,0.37%,22.81%,7.81,25.07,-0.71%,-0.16%,-0.51%,-1.98%,-1.10%,1.86%,4.21%,4.30%,4.21%,3.62%,21.84%,28.94%,32.46%,-5.19%,-66.75%,-11.13%,0.68,11.09%,6.55%,34.35%,24.94%,6.05%,4.04%,-0.33%,3211.27,3.86,1073385,12.16,12.12,13.03,12.15,12.61,3.70%,,
23,"INTC","Intel Corp.","Technology","Semiconductors","USA",154167.26,37.73,5.01,4257.00,4254.58,0.06%,0.55%,67.03%,-1.78%,2.26%,2.03,96.01,-0.01%,0.04%,-0.30%,-0.66%,-1.54%,0.22%,1.33%,1.24%,5.46%,5.83%,3.86%,18.93%,-0.12%,-23.05%,5.37%,-27.93%,1.11,3.50%,2.61%,12.80%,15.68%,-6.88%,0.30%,5.14%,47320.86,6.01,24630980,34.34,36.10,37.16,35.99,36.22,5.46%,,
24,"JNPR","Juniper Networks Inc","Technology","Communication Equipment","USA",12141.63,54.12,3.91,324.99,320.98,1.23%,-11.21%,90.02%,-0.69%,3.70%,5.03,11.87,0.03%,0.03%,0.03%,0.01%,-0.00%,0.11%,0.30%,0.27%,0.43%,0.43%,1.14%,5.36%,2.55%,0.03%,27.38%,26.73%,0.32,0.82%,0.94%,2.74%,5.21%,12.25%,0.11%,0.11%,2358.87,4.60,939021,37.28,37.32,37.40,37.31,37.36,0.21%,,
25,"KSCP","Knightscope Inc","Industrials","Security & Protection Services","USA",40.76,,0.02,130.98,111.19,15.10%,0.42%,3.73%,18.67%,7.58%,4.73,8.42,-0.22%,0.00%,-0.22%,0.00%,0.39%,0.39%,0.61%,-0.26%,0.39%,-6.60%,23.84%,-1.83%,-36.58%,-41.07%,-81.25%,-48.13%,0.03,8.86%,9.82%,14.07%,-4.06%,-41.09%,-0.10%,2.67%,1779.93,4.70,724391,0.30,0.31,0.31,0.30,0.31,2.57%,,
26,"KZIA","Kazia Therapeutics Limited ADR","Healthcare","Biotechnology","Australia",14.21,,0.10,23.63,23.62,,,1.57%,21.85%,0.20%,0.00,0.05,-2.97%,-1.96%,-0.76%,-3.79%,2.84%,9.39%,13.43%,13.69%,6.65%,7.17%,-10.03%,161.32%,106.60%,82.13%,-38.02%,36.79%,0.17,94.38%,32.98%,65.63%,95.61%,45.90%,12.37%,-6.52%,12151.00,2.85,2997128,0.57,0.54,0.64,0.54,0.60,5.05%,,
27,"LGVN","Longeveron Inc","Healthcare","Biotechnology","USA",26.63,,0.36,6.35,4.40,30.62%,18.09%,0.79%,10.40%,6.66%,0.03,0.29,-1.20%,-2.58%,-2.24%,-4.93%,-10.67%,-2.80%,0.33%,0.10%,18.81%,17.48%,-7.82%,31.47%,18.81%,-59.67%,-88.12%,-69.16%,0.71,27.05%,22.18%,67.96%,129.83%,-53.33%,0.10%,19.03%,9500.39,22.73,18690820,3.52,4.19,4.88,4.12,4.19,19.15%,,
28,"LPA","Logistic Properties of the Americas","Real Estate","Real Estate - Development","USA",911.79,597.80,0.00,4.19,2.77,91.27%,0.00%,0.68%,334.05%,0.66%,0.05,0.02,0.58%,1.28%,1.39%,2.91%,-1.82%,-5.69%,-6.88%,9.70%,23.78%,21.53%,233.19%,74.58%,280.85%,172.29%,182.73%,171.52%,13.50,61.60%,28.07%,109.23%,2.95%,98.64%,1.86%,8.58%,336.80,42.26,1231563,26.00,28.23,32.00,26.50,28.75,10.59%,,
29,"LPSN","Liveperson Inc","Technology","Software - Application","USA",83.91,,1.46,87.84,69.44,21.63%,-0.46%,55.09%,-1.25%,11.58%,2.49,8.04,0.41%,-0.57%,-2.34%,-1.98%,0.79%,6.91%,8.85%,6.56%,6.40%,4.79%,28.79%,57.81%,66.96%,-70.31%,-78.96%,-75.01%,0.08,12.93%,11.97%,43.62%,44.27%,-51.36%,6.40%,0.93%,3235.24,2.63,736577,0.88,0.89,0.98,0.89,0.95,7.39%,,
30,"LUXH","LuxUrban Hotels Inc","Consumer Cyclical","Lodging","USA",15.14,,0.01,73.20,52.99,27.61%,46.08%,9.12%,53.78%,1.90%,0.60,1.01,-1.52%,-1.10%,0.19%,-0.86%,0.88%,2.89%,0.34%,-0.05%,6.05%,6.00%,10.83%,-11.05%,-75.05%,-95.78%,-93.22%,-96.54%,0.03,9.58%,11.05%,-6.62%,-37.66%,-92.54%,-1.52%,5.05%,1677.75,7.33,1064075,0.20,0.21,0.21,0.20,0.21,3.45%,,
31,"MCRB","Seres Therapeutics Inc","Healthcare","Biotechnology","USA",210.52,,0.73,135.04,119.86,20.86%,-0.14%,41.43%,12.80%,17.26%,4.20,20.69,2.18%,2.58%,1.46%,1.45%,1.09%,1.46%,12.87%,13.01%,10.32%,10.32%,40.87%,96.24%,118.52%,13.01%,-70.74%,-0.71%,0.12,14.48%,11.46%,62.55%,54.69%,28.60%,10.32%,-0.79%,4921.84,3.61,1539446,1.27,1.26,1.40,1.26,1.39,9.45%,,
32,"MLGO","MicroAlgo Inc","Technology","Software - Infrastructure","China",23.82,,2.52,5.16,1.71,77.57%,0.00%,0.14%,-0.51%,134.57%,0.26,2.30,-1.26%,-0.63%,-0.95%,-1.26%,-3.69%,-4.57%,-3.70%,-2.18%,-6.28%,-6.84%,-24.39%,-22.14%,22.27%,-50.40%,-86.39%,-65.68%,2.43,30.92%,45.59%,-62.61%,-40.52%,-76.13%,-6.84%,18.31%,8908.97,14.12,10886665,2.84,3.36,3.38,3.10,3.13,10.21%,,
33,"NFE","New Fortress Energy Inc","Utilities","Utilities - Regulated Gas","USA",4858.84,10.80,1.54,205.00,115.64,43.61%,0.00%,52.44%,-0.93%,14.70%,8.54,17.00,-0.02%,0.13%,0.43%,0.36%,1.48%,1.22%,4.02%,4.38%,5.50%,5.36%,21.20%,7.46%,-14.18%,-32.99%,-12.82%,-37.20%,0.96,4.00%,4.57%,13.55%,0.91%,-22.24%,4.66%,1.71%,1989.47,3.14,540885,22.26,22.64,23.73,22.63,23.69,6.45%,,
34,"OKLO","Oklo Inc.","Utilities","Utilities - Regulated Electric","USA",1153.84,50.53,0.00,122.10,69.37,43.19%,0.00%,19.52%,0.29%,7.99%,1.41,5.54,0.80%,1.83%,1.94%,2.94%,4.36%,7.88%,8.62%,8.50%,11.16%,9.76%,21.47%,-0.11%,-25.71%,-11.02%,-8.70%,-10.51%,0.91,11.05%,10.18%,10.52%,-1.82%,-11.15%,8.31%,-0.96%,3923.31,2.76,938490,8.81,8.73,9.46,8.72,9.45,7.26%,,
35,"OPEN","Opendoor Technologies Inc","Real Estate","Real Estate Services","USA",2047.08,,1.91,677.64,560.46,18.96%,-1.41%,55.81%,-3.59%,15.00%,5.11,84.07,0.51%,1.02%,1.54%,0.34%,5.90%,4.21%,8.23%,5.34%,5.34%,6.09%,55.79%,43.69%,37.04%,-8.07%,-31.40%,-33.93%,0.18,10.42%,7.38%,50.37%,39.03%,8.30%,6.86%,-5.14%,16451.55,5.62,8002142,2.92,2.77,2.98,2.75,2.96,1.37%,,
36,"PCG","PG&E Corp.","Utilities","Utilities - Regulated Electric","USA",38201.74,15.88,0.48,2133.60,2011.16,5.90%,-0.05%,91.87%,13.26%,1.76%,2.75,35.30,0.11%,0.28%,0.28%,0.25%,0.11%,0.48%,0.59%,0.87%,1.45%,1.45%,1.33%,-2.05%,11.51%,4.47%,0.25%,-0.86%,0.28,1.45%,1.55%,1.79%,-0.45%,4.54%,0.42%,0.45%,12845.60,2.20,2447854,17.72,17.80,17.88,17.76,17.88,0.87%,,
37,"QS","QuantumScape Corp","Consumer Cyclical","Auto Parts","USA",4640.63,,2.02,433.16,345.15,30.91%,-0.80%,24.18%,3.37%,16.01%,6.48,55.25,0.32%,1.26%,1.75%,-0.11%,3.90%,4.74%,4.50%,3.68%,3.45%,0.98%,71.72%,82.51%,70.46%,33.29%,-9.54%,33.67%,0.50,11.57%,5.94%,64.06%,63.79%,49.80%,3.68%,-1.97%,8520.05,5.26,3877632,9.14,8.96,9.33,8.80,9.29,1.64%,,
38,"RPAY","Repay Holdings Corporation","Technology","Software - Infrastructure","USA",944.49,,1.34,90.80,80.14,16.34%,-1.14%,79.48%,-4.50%,2.12%,1.65,1.70,0.36%,0.51%,0.61%,0.56%,0.79%,1.34%,1.34%,1.34%,1.34%,0.41%,7.52%,-6.98%,4.89%,30.94%,24.49%,15.46%,0.41,3.00%,3.80%,-2.31%,-3.32%,12.74%,1.34%,-0.92%,1029.65,5.79,516013,9.82,9.73,9.86,9.73,9.86,0.41%,,
39,"SHIM","Shimmick Corp.","Industrials","Engineering & Construction","USA",93.91,,0.91,30.89,30.89,0.00%,,7.23%,,0.21%,0.35,0.06,-1.30%,2.01%,2.01%,4.20%,8.77%,9.35%,4.11%,1.00%,3.09%,-5.30%,82.04%,76.74%,-11.11%,-53.16%,,-53.94%,0.22,9.75%,7.24%,87.13%,53.50%,-34.58%,5.56%,39.13%,184.54,503.83,8046247,2.07,2.88,3.13,2.69,3.04,46.86%,,
40,"SOFI","SoFi Technologies Inc","Financial","Credit Services","USA",8318.84,,4.37,1057.22,1005.29,4.91%,-27.65%,38.33%,4.43%,18.60%,4.80,187.00,0.43%,1.20%,1.14%,-0.27%,0.90%,3.19%,4.50%,3.81%,3.94%,3.26%,19.77%,21.80%,9.29%,1.92%,-17.00%,-20.92%,0.26,4.75%,3.39%,19.12%,15.03%,3.59%,3.92%,-2.30%,38981.26,2.66,8972715,7.75,7.57,7.90,7.57,7.87,1.53%,,
41,"T","AT&T, Inc.","Communication Services","Telecom Services","USA",136233.23,10.18,0.50,7170.17,7161.94,0.11%,0.00%,59.07%,-0.90%,1.57%,3.37,112.27,0.00%,0.03%,0.18%,0.21%,0.05%,0.21%,0.37%,0.48%,0.74%,1.06%,1.39%,7.71%,18.09%,15.57%,40.43%,13.23%,0.29,1.55%,1.51%,1.91%,5.67%,12.81%,0.42%,0.37%,33363.63,2.85,8238586,18.85,18.92,19.04,18.91,19.00,0.80%,,
42,"TKNO","Alpha Teknova Inc","Healthcare","Drug Manufacturers - Specialty & Generic","USA",62.05,,0.53,40.79,10.40,74.53%,67.20%,14.67%,-1.24%,1.37%,4.16,0.14,4.11%,4.11%,4.11%,7.04%,7.80%,7.80%,6.67%,12.59%,4.83%,4.83%,24.59%,-10.59%,-41.54%,-46.67%,-57.18%,-59.25%,0.12,7.40%,9.24%,13.88%,-6.01%,-37.13%,4.83%,7.41%,34.10,218.66,645285,1.35,1.45,1.51,1.41,1.52,12.59%,,
43,"U","Unity Software Inc","Technology","Software - Application","USA",7028.56,,3.02,384.87,284.46,27.22%,-0.60%,53.35%,-0.34%,10.68%,3.49,30.38,-0.04%,0.07%,-0.13%,-0.59%,0.07%,0.97%,3.94%,3.64%,4.25%,3.35%,16.92%,9.65%,-24.89%,-47.27%,-60.98%,-56.02%,0.79,5.11%,4.49%,10.82%,-3.64%,-33.97%,3.55%,-1.61%,8716.12,2.08,1566502,17.65,17.36,18.08,17.48,17.98,1.88%,,
44,"UPST","Upstart Holdings Inc","Financial","Credit Services","USA",2832.37,,5.00,86.33,75.47,14.12%,-2.66%,44.43%,-14.32%,33.34%,5.09,25.16,0.67%,1.16%,1.81%,0.40%,2.16%,4.44%,4.88%,4.61%,3.97%,2.19%,29.85%,43.95%,42.99%,5.85%,-39.09%,-21.12%,1.58,7.76%,5.11%,33.05%,30.94%,15.55%,4.51%,-3.50%,4946.09,3.37,1442229,31.96,30.84,32.31,30.77,32.23,0.84%,,
45,"USB","U.S. Bancorp.","Financial","Banks - Regional","USA",70033.45,14.89,,1557.99,1557.03,0.22%,-4.28%,79.50%,-0.66%,1.10%,2.13,17.11,0.05%,0.02%,0.22%,0.14%,1.21%,0.87%,3.53%,2.82%,2.62%,3.17%,10.00%,15.58%,9.46%,8.46%,27.28%,3.70%,0.94,2.15%,2.04%,11.56%,11.32%,12.78%,2.09%,1.55%,8023.53,3.38,2344692,43.29,43.96,44.96,43.80,44.88,3.67%,,
46,"VERB","Verb Technology Company Inc","Technology","Software - Application","USA",12.66,,0.14,104.37,103.70,0.64%,0.00%,0.43%,1.15%,2.53%,0.18,2.62,0.66%,-0.16%,-0.25%,-0.25%,-0.90%,-8.11%,-5.31%,-20.20%,3.68%,3.68%,2.36%,-0.57%,-30.88%,-6.69%,-89.72%,-29.52%,0.01,4.38%,6.16%,1.10%,-10.52%,-44.22%,-6.69%,11.68%,14584.16,43.19,54511447,0.12,0.13,0.14,0.12,0.12,4.21%,,
47,"VERU","Veru Inc","Healthcare","Biotechnology","USA",162.48,,0.24,146.38,125.96,13.95%,-1.10%,36.33%,-6.50%,8.31%,4.68,10.47,0.45%,0.92%,0.91%,1.70%,0.91%,3.26%,4.72%,7.77%,7.77%,7.77%,25.99%,36.48%,-11.55%,166.96%,-11.90%,54.17%,0.09,9.19%,9.83%,27.45%,3.96%,28.46%,3.74%,2.88%,2237.14,2.62,507927,1.04,1.07,1.11,1.06,1.11,6.73%,,
48,"VFC","VF Corp.","Consumer Cyclical","Apparel Manufacturing","USA",5839.34,,1.74,388.84,366.96,5.67%,0.90%,91.94%,0.46%,13.54%,6.39,49.70,0.20%,0.87%,0.54%,-0.33%,-1.31%,0.13%,-2.15%,-3.78%,-1.18%,1.42%,17.82%,10.04%,19.41%,-2.72%,-21.45%,-20.16%,0.60,3.88%,3.90%,10.60%,14.00%,-2.17%,-0.79%,6.40%,7775.51,4.90,3299610,14.22,15.13,15.23,14.81,15.01,5.56%,,
49,"WBD","Warner Bros. Discovery Inc","Communication Services","Entertainment","USA",20129.30,,1.41,2439.00,2217.09,9.52%,0.04%,62.12%,-0.00%,5.81%,4.50,128.73,0.31%,1.17%,1.17%,1.15%,1.91%,2.37%,4.09%,3.59%,4.12%,3.46%,12.23%,13.47%,0.92%,-20.63%,-33.27%,-27.81%,0.27,3.60%,3.22%,12.80%,6.40%,-12.37%,3.46%,-0.50%,28590.93,2.08,5144905,7.98,7.94,8.22,7.92,8.22,2.94%,,
