"No.","Ticker","Company","Country","Market Cap","P/E","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Short Interest","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Earnings Date","Change from Open","Gap","Average Volume","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change","After-Hours Close"
55,"RDFN","Redfin Corp","USA",1008.33,,114.22,4.39%,-0.39%,62.97%,-8.45%,17.41%,4.36,19.88,0.12%,-0.06%,0.06%,0.58%,0.96%,2.18%,0.48%,0.48%,0.36%,0.60%,31.26%,30.85%,47.04%,-2.43%,-49.13%,-18.22%,0.43,7.89%,5.60%,34.37%,29.35%,22.11%,5/7/2024 4:30:00 PM,1.08%,0.97%,4564.47,2.01,794443,8.27,8.35,8.48,8.23,8.44,2.06%,
56,"HYLN","Hyliion Holdings Corporation","USA",427.27,,115.44,33.67%,0.02%,21.93%,11.52%,8.82%,15.34,10.18,0.20%,0.20%,0.00%,1.03%,0.41%,1.87%,4.91%,0.61%,2.72%,2.72%,45.27%,65.88%,85.98%,164.21%,24.62%,201.71%,0.12,9.33%,6.51%,46.74%,56.55%,104.77%,4/30/2024 4:30:00 PM,1.87%,1.69%,663.71,2.72,156044,2.37,2.41,2.45,2.38,2.45,3.59%,
57,"MCRB","Seres Therapeutics Inc","USA",201.44,,119.86,20.86%,-0.14%,41.43%,12.80%,17.26%,4.30,20.69,-0.74%,-3.62%,-1.62%,-0.37%,6.37%,-1.47%,12.72%,14.66%,15.66%,15.66%,30.40%,87.23%,115.26%,10.84%,-70.57%,-4.99%,0.12,13.78%,10.86%,60.83%,48.56%,22.43%,5/8/2024 8:30:00 AM,11.77%,0.00%,4808.00,7.84,3263768,1.19,1.19,1.44,1.19,1.33,11.77%,
58,"SANA","Sana Biotechnology Inc","USA",1461.66,,120.52,45.59%,5.68%,50.28%,1.60%,21.58%,13.74,26.01,-2.53%,-2.53%,-2.67%,-1.95%,-0.17%,0.44%,0.44%,0.44%,3.76%,3.76%,26.17%,-7.71%,-22.82%,4.33%,14.17%,61.74%,0.42,6.95%,6.82%,19.81%,-7.09%,4.96%,5/8/2024 4:30:00 PM,2.63%,1.10%,1893.61,2.55,417399,6.36,6.43,6.82,6.43,6.60,3.76%,
59,"AUPH","Aurinia Pharmaceuticals Inc","Canada",832.38,,128.69,10.02%,-2.36%,36.63%,9.06%,8.02%,8.17,10.32,0.34%,0.34%,-0.34%,-0.43%,-0.17%,0.17%,-1.19%,-1.19%,5.63%,5.63%,5.43%,8.79%,15.48%,-24.81%,-47.66%,-35.26%,0.22,4.17%,3.95%,4.43%,7.17%,-13.38%,5/2/2024 8:30:00 AM,1.57%,1.06%,1262.03,2.08,226996,5.67,5.73,5.86,5.72,5.82,2.65%,
60,"HYZN","Hyzon Motors Inc","USA",81.49,,129.54,47.64%,-7.93%,17.28%,-2.31%,6.35%,18.50,8.23,-0.18%,1.10%,0.95%,-0.15%,-0.15%,0.70%,0.70%,5.21%,-3.09%,-0.18%,-7.34%,-32.53%,-46.87%,-48.89%,-77.74%,-63.20%,0.03,7.86%,11.91%,-6.64%,-28.15%,-55.06%,5/13/2024 4:30:00 PM,-0.18%,0.30%,444.74,9.41,351819,0.33,0.33,0.33,0.32,0.33,0.12%,
61,"PGEN","Precigen Inc","USA",440.47,,130.85,48.16%,0.00%,24.44%,-6.78%,10.06%,15.78,13.16,-0.29%,0.58%,0.58%,0.58%,0.29%,2.95%,2.95%,5.76%,5.76%,5.76%,12.58%,2.65%,24.64%,27.37%,47.88%,30.22%,0.09,4.55%,5.41%,11.56%,16.32%,27.94%,5/14/2024 4:30:00 PM,4.49%,1.52%,834.39,2.01,145051,1.64,1.67,1.74,1.66,1.75,6.08%,
62,"WMG","Warner Music Group Corp","USA",16474.72,31.47,133.96,74.13%,-0.02%,24.82%,0.79%,7.07%,4.07,9.47,-0.06%,0.03%,0.03%,0.20%,0.76%,0.62%,0.62%,0.86%,0.86%,0.86%,4.85%,0.41%,-4.93%,-10.52%,10.18%,-11.12%,0.75,2.68%,2.27%,4.15%,2.01%,-4.10%,5/9/2024 8:30:00 AM,0.73%,0.13%,2328.88,2.08,418593,31.54,31.58,31.84,31.57,31.81,0.86%,
63,"SLDP","Solid Power Inc","USA",387.76,,134.35,24.12%,-2.57%,23.02%,39.65%,12.06%,8.60,16.20,-0.01%,-0.90%,-1.12%,0.00%,-1.57%,0.23%,0.93%,3.31%,1.87%,1.87%,28.08%,29.59%,38.61%,73.82%,-21.22%,51.04%,0.11,8.19%,5.66%,27.41%,25.61%,36.89%,5/7/2024 4:30:00 PM,0.46%,0.93%,1883.43,2.99,487242,2.16,2.18,2.22,2.17,2.19,1.39%,
64,"ALLO","Allogene Therapeutics Inc","USA",752.65,,136.69,34.53%,2.41%,50.45%,4.07%,30.28%,14.89,41.38,0.17%,3.74%,3.53%,0.42%,8.26%,16.66%,16.66%,20.57%,28.29%,25.17%,56.74%,41.93%,1.55%,11.96%,-27.32%,12.31%,0.23,8.44%,7.70%,50.11%,41.02%,10.41%,5/13/2024 4:30:00 PM,20.17%,0.67%,2780.18,8.39,2018086,2.98,3.00,3.64,3.00,3.61,20.97%,
65,"CORZ","Core Scientific Inc","USA",2042.69,109.12,145.91,17.93%,1.11%,28.02%,,22.62%,3.12,33.00,-0.07%,-0.26%,-1.12%,0.34%,2.50%,2.59%,3.05%,2.77%,3.79%,4.08%,20.19%,16.65%,306.01%,,,234.01%,0.87,8.74%,9.49%,17.96%,64.43%,134.80%,5/8/2024 4:30:00 PM,3.51%,0.82%,10583.26,2.07,1899858,11.01,11.10,11.63,11.09,11.49,4.36%,
66,"STEM","Stem Inc","USA",232.76,,150.42,6.95%,-7.31%,64.76%,2.03%,23.27%,8.03,35.00,-0.35%,-0.01%,0.34%,-0.69%,-0.70%,-0.70%,-0.69%,-0.35%,-1.38%,-0.70%,27.42%,21.00%,-9.44%,-56.37%,-78.15%,-62.89%,0.10,9.08%,7.73%,23.23%,14.57%,-42.81%,5/2/2024 4:30:00 PM,-0.63%,1.33%,4359.72,2.00,754770,1.43,1.45,1.47,1.43,1.44,0.69%,
67,"IREN","Iris Energy Ltd","Australia",2310.08,,164.78,10.87%,0.00%,15.99%,-1.50%,3.68%,0.41,6.06,0.12%,-0.67%,-0.91%,-0.25%,0.85%,2.00%,0.77%,0.12%,2.75%,4.39%,-2.54%,-8.80%,188.57%,142.62%,75.00%,74.76%,1.47,17.92%,12.49%,-4.62%,28.18%,105.21%,5/15/2024 4:30:00 PM,1.63%,2.50%,14763.54,3.14,4017967,11.99,12.30,12.69,12.16,12.49,4.17%,
68,"FLUT","Flutter Entertainment Plc","USA",36822.40,,175.84,1.03%,0.00%,75.15%,,1.51%,2.41,2.65,0.03%,0.02%,-0.00%,0.04%,0.09%,0.30%,0.67%,1.21%,0.87%,0.97%,4.18%,16.05%,12.62%,30.64%,0.91%,15.78%,4.63,1.89%,2.21%,8.25%,6.50%,11.37%,5/14/2024 8:30:00 AM,0.57%,-0.55%,1100.74,12.66,1206068,207.21,206.06,207.43,206.25,207.24,0.01%,
69,"CTLT","Catalent Inc.","USA",10471.50,,175.94,2.78%,-0.09%,94.83%,-7.71%,4.89%,5.06,8.61,0.02%,0.08%,0.11%,0.22%,0.15%,-0.17%,0.03%,0.03%,0.03%,0.03%,0.98%,3.38%,3.17%,17.29%,24.03%,28.78%,0.56,1.09%,0.91%,2.46%,3.64%,14.87%,5/8/2024 4:30:00 PM,0.10%,-0.07%,1700.40,5.42,775244,57.84,57.80,58.00,57.72,57.86,0.03%,
70,"HOMB","Home Bancshares Inc","USA",5192.29,13.44,185.45,7.42%,-0.70%,67.59%,-3.95%,2.46%,4.98,4.55,0.14%,0.08%,0.08%,0.30%,0.62%,1.33%,1.65%,1.41%,1.65%,1.65%,8.41%,13.29%,13.49%,9.69%,11.29%,2.33%,0.47,2.11%,1.73%,9.13%,8.75%,11.33%,7/17/2024 4:30:00 PM,1.09%,0.55%,913.55,2.01,159049,25.50,25.64,25.92,25.58,25.92,1.65%,
71,"CIFR","Cipher Mining Inc","USA",2013.64,134.19,192.19,38.01%,-6.62%,16.66%,-2.08%,11.55%,2.60,22.21,0.54%,0.08%,-0.08%,0.08%,1.96%,7.53%,7.70%,5.61%,6.30%,7.89%,48.63%,30.16%,77.95%,99.23%,32.28%,57.26%,0.48,11.17%,10.03%,39.81%,52.32%,80.89%,5/7/2024 8:30:00 AM,7.18%,1.34%,8554.08,3.65,2699542,5.98,6.06,6.52,5.98,6.49,8.61%,
72,"CLSK","Cleanspark Inc","USA",4343.20,143.31,220.35,3.30%,-13.49%,43.88%,4.32%,16.66%,1.20,36.72,-0.03%,0.11%,-0.33%,0.59%,1.11%,3.47%,4.10%,3.19%,3.93%,4.61%,25.23%,6.10%,29.75%,134.15%,176.23%,72.80%,1.37,6.87%,7.77%,13.43%,14.11%,54.17%,5/9/2024 8:30:00 AM,3.98%,0.16%,30608.33,2.27,6024890,18.30,18.33,19.17,18.28,19.06,4.15%,
73,"MTNB","Matinas Biopharma Holdings Inc","USA",47.18,,244.48,2.53%,0.00%,11.09%,2.64%,0.92%,2.41,2.24,-0.53%,-0.42%,-0.21%,0.05%,1.51%,0.53%,-0.42%,1.57%,2.79%,1.57%,15.40%,17.56%,-7.11%,-17.14%,-48.32%,-13.00%,0.01,5.66%,5.40%,16.39%,14.23%,-10.81%,5/9/2024 4:30:00 PM,0.53%,2.46%,930.26,3.53,276151,0.18,0.19,0.19,0.19,0.19,3.01%,
74,"MTCH","Match Group Inc.","USA",9189.53,15.06,264.05,0.61%,-0.06%,100.13%,-3.50%,5.45%,2.79,14.38,0.07%,0.52%,1.24%,1.67%,2.35%,1.93%,1.80%,1.65%,-0.40%,-0.14%,11.80%,9.44%,8.23%,-6.21%,-28.04%,-5.23%,0.95,2.86%,2.63%,13.11%,12.35%,2.53%,7/30/2024 4:30:00 PM,1.01%,6.95%,5149.98,4.69,2089181,32.02,34.24,34.69,33.68,34.59,8.03%,
75,"TRX","TRX Gold Corp","Canada",118.68,,272.92,2.26%,0.00%,1.13%,52.62%,0.15%,1.25,0.41,-1.19%,-0.75%,-3.17%,-3.21%,-1.85%,-0.68%,-0.68%,-0.68%,-1.55%,-1.55%,2.41%,4.63%,2.93%,11.34%,-8.60%,11.80%,0.02,6.11%,4.85%,3.95%,-2.40%,6.59%,7/14/2024 4:30:00 PM,-0.68%,2.27%,329.82,4.45,123364,0.42,0.43,0.44,0.42,0.43,1.58%,
76,"M","Macy's Inc","USA",4669.95,456.62,274.33,0.75%,-12.92%,81.80%,-4.75%,4.78%,2.59,13.12,0.03%,0.00%,-0.01%,0.51%,0.00%,-0.41%,-1.08%,-0.97%,-0.44%,-0.50%,-10.47%,-11.13%,-10.56%,-8.87%,8.58%,-16.03%,0.83,3.39%,3.16%,-9.38%,-11.36%,-3.82%,5/21/2024 8:30:00 AM,-0.73%,1.01%,5059.21,2.35,1030346,16.85,17.02,17.05,16.81,16.90,0.27%,
77,"USA","Liberty All-Star Equity Fund","USA",1993.42,4.83,282.31,0.10%,2.78%,10.09%,,0.02%,0.09,0.06,-0.22%,-0.37%,-0.46%,-0.51%,-0.30%,-0.30%,-0.30%,0.06%,0.34%,0.34%,2.23%,4.19%,2.98%,6.08%,6.40%,10.56%,0.08,1.55%,0.98%,2.90%,3.74%,7.98%,,-0.37%,0.71%,661.69,2.23,127545,7.03,7.08,7.10,7.05,7.05,0.34%,
78,"BITF","Bitfarms Ltd.","Canada",1141.96,,321.53,19.33%,0.00%,22.59%,,7.60%,1.12,24.43,-0.03%,0.17%,0.53%,1.24%,1.78%,1.78%,1.60%,1.92%,2.32%,3.06%,15.52%,1.96%,65.61%,17.42%,45.43%,-1.55%,0.20,6.93%,8.00%,5.70%,23.45%,35.07%,5/15/2024 8:30:00 AM,1.60%,1.81%,21875.01,2.11,3999851,2.77,2.82,2.87,2.79,2.87,3.43%,
79,"QS","QuantumScape Corp","USA",4440.77,,345.15,30.91%,-0.80%,24.18%,3.37%,16.01%,6.72,55.25,0.37%,-1.11%,-1.09%,0.58%,-2.08%,-1.66%,1.37%,-0.11%,2.89%,3.98%,67.73%,70.30%,64.32%,20.62%,-9.84%,27.91%,0.48,10.71%,5.83%,62.82%,58.73%,43.68%,7/24/2024 4:30:00 PM,1.83%,1.28%,8225.11,5.96,4245365,8.62,8.73,9.20,8.70,8.89,3.13%,
80,"LXRX","Lexicon Pharmaceuticals Inc","USA",817.69,,351.32,2.81%,0.00%,62.59%,11.63%,5.75%,7.44,20.20,0.09%,0.55%,1.66%,2.54%,-0.35%,4.72%,5.70%,6.20%,6.70%,5.70%,41.38%,23.61%,20.96%,65.11%,2.35%,47.84%,0.13,7.45%,7.19%,29.65%,28.06%,33.16%,5/2/2024 4:30:00 PM,6.20%,0.47%,2714.45,2.47,580516,2.12,2.13,2.29,2.13,2.26,6.70%,
81,"NWSA","News Corp","USA",15253.09,78.30,374.78,30.24%,0.00%,71.77%,-0.70%,2.06%,2.98,7.72,0.02%,-0.21%,-0.28%,1.23%,1.79%,2.05%,2.05%,2.05%,1.36%,1.36%,2.42%,4.41%,16.93%,17.12%,40.48%,15.64%,0.47,1.53%,1.61%,3.37%,6.28%,16.35%,5/8/2024 4:30:00 PM,1.85%,0.63%,2594.20,2.90,651230,27.70,27.88,28.56,27.77,28.39,2.49%,
82,"JOBY","Joby Aviation Inc","USA",5008.67,,378.19,46.62%,-0.37%,30.89%,0.23%,19.15%,12.75,72.41,0.50%,0.35%,0.28%,0.50%,-0.56%,0.28%,1.15%,1.14%,1.29%,0.86%,38.36%,41.40%,51.07%,20.03%,-28.22%,6.32%,0.31,7.79%,5.59%,34.21%,37.64%,25.98%,5/7/2024 4:30:00 PM,1.73%,0.00%,5677.87,2.85,1398088,6.95,6.95,7.13,6.96,7.07,1.73%,
83,"CHPT","ChargePoint Holdings Inc","USA",976.49,,386.65,9.09%,-4.46%,37.69%,-0.39%,29.34%,7.95,113.42,-0.07%,-1.25%,-0.82%,-0.82%,0.48%,0.92%,2.50%,2.96%,3.39%,3.42%,29.72%,33.49%,45.32%,20.84%,-72.20%,-1.88%,0.15,9.60%,8.70%,38.65%,34.39%,6.39%,6/5/2024 4:30:00 PM,2.96%,2.29%,14274.53,2.15,2657238,2.18,2.23,2.33,2.22,2.30,5.32%,
84,"ASML","ASML Holding NV","Netherlands",422399.33,54.88,393.19,0.06%,0.00%,19.62%,-1.19%,0.32%,1.20,1.25,0.03%,-0.07%,-0.17%,-0.13%,0.60%,0.37%,0.15%,-0.12%,-0.34%,-0.18%,1.29%,1.99%,12.45%,50.54%,42.39%,41.85%,28.37,3.37%,2.34%,2.27%,7.89%,27.29%,7/17/2024 8:30:00 AM,-0.09%,1.04%,1040.70,2.55,229574,1063.63,1074.68,1077.05,1066.69,1073.66,0.94%,
85,"IEP","Icahn Enterprises L P","USA",7851.25,,449.68,0.34%,0.00%,90.92%,2.85%,1.60%,10.75,7.19,-0.08%,-0.17%,-0.16%,-0.17%,0.18%,-1.13%,0.30%,0.58%,0.58%,0.58%,3.39%,7.28%,0.82%,1.70%,-46.85%,1.23%,0.38,1.64%,2.24%,5.61%,3.52%,-1.08%,5/8/2024 8:30:00 AM,-0.25%,1.19%,668.79,2.28,132038,17.24,17.44,17.62,17.35,17.40,0.94%,
86,"NAK","Northern Dynasty Minerals Ltd.","Canada",207.99,,526.75,2.04%,0.00%,13.83%,0.07%,1.25%,6.48,6.60,0.16%,0.16%,0.52%,0.94%,1.34%,1.79%,1.79%,0.49%,1.79%,1.79%,21.83%,39.14%,17.93%,42.10%,47.52%,19.64%,0.02,7.51%,5.70%,25.41%,27.75%,26.85%,5/17/2024 8:30:00 AM,1.55%,-0.29%,1018.14,3.76,322167,0.38,0.38,0.39,0.38,0.39,1.26%,
87,"OPEN","Opendoor Technologies Inc","USA",1838.50,,560.46,18.96%,-1.41%,55.78%,-3.59%,15.00%,5.29,84.07,-0.09%,-1.86%,-1.54%,0.13%,1.18%,1.66%,-0.06%,-0.43%,-0.43%,-0.81%,39.92%,26.59%,21.39%,-24.26%,-40.13%,-40.66%,0.16,9.52%,7.14%,38.06%,25.91%,-2.67%,8/1/2024 4:30:00 PM,1.85%,2.76%,15881.56,5.41,7436562,2.54,2.61,2.72,2.58,2.66,4.66%,
88,"LCID","Lucid Group Inc","USA",8782.40,,860.11,62.72%,0.00%,12.21%,0.63%,29.24%,9.23,251.51,0.31%,-0.61%,-0.48%,0.84%,1.10%,2.33%,3.44%,3.16%,3.44%,3.16%,23.19%,49.87%,56.65%,26.68%,-43.19%,-9.58%,0.25,12.72%,6.69%,32.17%,34.69%,9.70%,8/5/2024 4:30:00 PM,1.78%,3.60%,27260.62,3.33,7848413,3.61,3.74,3.84,3.69,3.81,5.45%,
89,"TKC","Turkcell Iletisim Hizmetleri A.S. ADR","Turkey",7096.19,14.84,872.83,0.00%,,3.74%,8.01%,0.03%,0.63,0.28,0.00%,0.12%,0.12%,0.00%,0.36%,0.62%,0.62%,0.62%,1.12%,1.12%,0.62%,10.46%,48.36%,57.56%,103.76%,69.02%,0.20,1.99%,2.27%,5.49%,12.20%,44.69%,5/27/2024 8:30:00 AM,0.59%,0.02%,438.39,2.83,104229,8.08,8.08,8.13,8.07,8.13,0.62%,
90,"UNH","Unitedhealth Group Inc","USA",491611.79,32.63,918.59,0.20%,-1.66%,89.34%,-0.70%,0.84%,1.84,7.69,0.02%,0.21%,0.37%,-0.11%,1.04%,0.62%,0.88%,0.97%,4.14%,6.02%,8.54%,7.41%,19.86%,2.42%,11.24%,1.46%,11.79,2.40%,2.05%,8.20%,6.83%,4.74%,7/16/2024 8:30:00 AM,0.04%,3.60%,4172.14,4.68,1688174,515.37,533.90,539.74,527.13,534.14,3.64%,
91,"SHOP","Shopify Inc","Canada",87372.51,,1205.41,6.46%,0.00%,63.93%,2.72%,1.64%,1.86,19.73,0.00%,-0.12%,-0.18%,-0.22%,-1.02%,1.13%,0.30%,0.22%,1.88%,2.45%,2.53%,4.81%,-1.12%,-16.71%,-0.95%,-12.97%,1.97,2.33%,2.71%,3.29%,6.77%,-2.02%,5/8/2024 8:30:00 AM,0.68%,4.87%,10616.26,4.71,4331512,64.21,67.34,68.89,66.83,67.80,5.59%,
92,"BAC","Bank Of America Corp.","USA",338661.13,14.95,7806.93,0.17%,0.00%,73.23%,0.34%,0.86%,1.89,67.40,-0.03%,0.13%,0.06%,-0.18%,0.99%,2.04%,1.87%,1.63%,0.92%,1.39%,4.55%,10.30%,20.46%,32.03%,48.76%,28.62%,0.80,1.84%,1.72%,7.33%,9.63%,26.69%,7/16/2024 8:30:00 AM,1.85%,1.50%,35657.89,3.90,12031702,41.89,42.52,43.46,42.22,43.31,3.38%,
93,"HEPS","D-MARKET Electronic Services & Trading ADR","Turkey",949.94,144.27,,,,6.01%,,,0.26,0.16,0.78%,0.78%,1.38%,-1.00%,3.26%,2.30%,0.48%,0.49%,0.78%,0.78%,12.16%,72.24%,154.79%,95.14%,108.40%,87.56%,0.18,7.32%,7.82%,38.62%,64.91%,109.45%,6/13/2024 8:30:00 AM,1.53%,-1.34%,601.13,6.42,334179,3.37,3.33,3.41,3.20,3.38,0.18%,
