"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Cash/sh","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Short Interest","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change"
11,"MIRA","Mira Pharmaceuticals Inc","Healthcare","Drug Manufacturers - General","USA",14.34,,0.24,14.78,9.75,34.05%,0.17%,4.20%,,0.16%,0.14,0.02,0.00%,-3.00%,1.20%,3.07%,3.40%,9.12%,3.17%,-12.61%,54.29%,54.29%,77.07%,31.08%,7.72%,-1.51%,,-7.62%,0.11,11.12%,7.87%,49.24%,32.15%,-35.70%,2588.06,14785416,0.59,0.63,1.25,0.57,0.97,64.63%
12,"MLGO","MicroAlgo Inc","Technology","Software - Infrastructure","China",27.17,,2.52,5.16,1.71,77.57%,0.00%,0.14%,-0.51%,134.57%,0.26,2.30,-0.81%,-1.07%,-3.21%,-3.23%,-3.23%,-3.23%,0.29%,-6.03%,1.45%,1.45%,-44.20%,-18.47%,27.53%,-53.80%,-84.93%,-60.85%,2.75,40.44%,45.33%,-57.94%,-31.84%,-73.16%,3.11,1357809,3.44,3.52,4.13,3.49,3.57,3.81%
13,"MWG","Multi Ways Holdings Ltd","Industrials","Rental & Leasing Services","Singapore",18.47,,,30.84,10.26,66.75%,0.00%,0.31%,,0.40%,0.05,0.04,0.00%,0.00%,2.25%,1.70%,1.53%,-0.08%,0.88%,1.73%,12.13%,12.13%,33.38%,58.47%,91.37%,122.26%,-2.59%,166.58%,0.08,24.24%,19.13%,60.00%,67.30%,86.24%,29.53,1240232,0.53,0.52,0.65,0.51,0.60,12.40%
14,"OPTT","Ocean Power Technologies","Industrials","Specialty Industrial Machinery","USA",35.28,,0.10,90.46,85.17,5.84%,0.00%,3.92%,-13.16%,11.17%,0.33,9.51,-0.05%,-0.43%,-0.96%,-2.38%,-3.32%,-3.75%,-5.34%,6.70%,7.73%,7.73%,-2.52%,154.57%,63.93%,26.50%,-36.60%,23.42%,0.06,19.73%,21.78%,52.37%,83.86%,38.94%,5.54,8046803,0.37,0.36,0.44,0.36,0.39,6.38%
15,"PHUN","Phunware Inc","Technology","Software - Application","USA",61.11,,2.69,8.03,7.91,1.45%,8.10%,20.52%,,13.27%,2.88,1.05,-0.13%,0.93%,0.94%,0.93%,1.47%,1.06%,2.15%,-0.39%,-5.58%,-5.58%,32.58%,31.66%,4.68%,102.39%,-61.85%,85.61%,0.61,5.96%,7.59%,35.90%,22.81%,-8.02%,176.99,3225017,5.83,8.20,8.90,7.03,7.61,30.53%
16,"RUM","Rumble Inc","Technology","Software - Application","USA",1844.87,,0.65,114.93,69.94,75.21%,-1.26%,9.12%,160.55%,19.74%,12.12,13.80,0.15%,0.00%,0.62%,0.15%,1.24%,0.77%,1.24%,1.08%,-1.06%,-1.06%,14.54%,12.56%,2.83%,76.28%,-25.51%,45.66%,0.33,3.98%,4.13%,16.57%,4.70%,10.99%,13.28,755946,5.94,6.77,7.29,6.37,6.54,10.10%
17,"RVMD","Revolution Medicines Inc","Healthcare","Biotechnology","USA",8084.51,,10.33,164.67,137.26,16.81%,-0.47%,82.63%,7.96%,11.72%,11.91,16.09,-0.20%,0.72%,0.04%,3.16%,1.03%,-0.28%,-3.92%,8.46%,9.03%,9.03%,23.80%,22.53%,35.85%,73.14%,84.70%,70.85%,2.92,5.74%,3.81%,24.51%,25.24%,59.21%,7.73,522348,45.14,44.94,55.75,37.53,49.00,8.55%
18,"SCNI","Scinai Immunotherapeutics Ltd ADR","Healthcare","Biotechnology","Israel",3.11,,9.20,0.54,0.53,2.25%,0.00%,7.59%,-65.24%,3.90%,0.04,0.02,-1.37%,1.09%,2.28%,3.79%,2.13%,-24.93%,1.41%,-7.26%,23.92%,23.92%,90.98%,113.75%,19.79%,0.00%,-61.41%,-3.43%,0.83,13.48%,19.40%,69.73%,54.35%,7.17%,148.88,4201514,4.06,4.67,8.36,4.59,5.75,41.63%
19,"SISI","Shineco Inc","Consumer Defensive","Farm Products","China",6.02,,0.09,26.39,6.43,0.26%,0.00%,0.87%,2.18%,3.04%,0.37,0.20,0.31%,-1.63%,0.85%,-1.63%,-1.70%,-1.76%,-0.89%,2.52%,0.09%,0.09%,-70.38%,-76.02%,31.01%,-19.58%,-69.51%,-17.15%,0.80,46.19%,30.70%,-70.05%,-56.68%,-32.45%,75.36,2015668,0.84,0.93,0.97,0.90,0.93,10.99%
20,"SMR","NuScale Power Corporation","Industrials","Specialty Industrial Machinery","USA",1452.73,,1.55,88.54,77.81,12.11%,-1.57%,32.33%,4.26%,19.19%,2.86,14.93,-0.20%,-0.14%,-0.15%,-0.32%,0.11%,0.29%,0.20%,2.80%,3.19%,3.19%,19.85%,94.17%,211.34%,601.18%,108.48%,398.71%,1.28,11.69%,11.76%,46.22%,85.85%,219.89%,2.75,718144,15.34,15.91,16.49,15.40,16.41,6.96%
21,"SOUN","SoundHound AI Inc","Technology","Software - Application","USA",2052.37,,0.64,329.17,281.85,14.05%,-2.38%,20.35%,6.47%,25.39%,2.72,71.57,0.00%,0.08%,0.08%,0.08%,-0.24%,-0.24%,0.08%,0.08%,3.23%,3.23%,48.45%,34.09%,42.35%,252.26%,66.71%,194.10%,0.41,14.76%,7.27%,44.61%,33.09%,76.47%,2.10,2759684,6.20,6.00,6.40,5.92,6.24,0.56%
22,"TSLL","Direxion Daily TSLA Bull 2X Shares","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,0.20%,0.27%,0.20%,0.26%,0.33%,0.14%,-0.19%,-0.13%,-0.59%,-0.59%,2.58%,100.26%,99.21%,20.96%,-18.44%,5.29%,1.29,15.57%,10.56%,39.63%,69.90%,42.02%,3.62,7241316,14.02,15.25,15.67,14.95,15.12,7.85%
23,"TSLT","T-REX 2X Long Tesla Daily Target ETF","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,0.22%,0.29%,0.24%,0.19%,0.44%,0.10%,-0.19%,-0.05%,-0.62%,-0.62%,2.52%,101.85%,99.52%,1.67%,,-15.55%,1.76,15.56%,10.53%,39.70%,70.41%,34.15%,2.36,890105,19.25,20.91,21.33,20.51,20.75,7.79%
