"No.","Ticker","Company","Country","Market Cap","P/E","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Short Interest","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Earnings Date","Change from Open","Gap","Average Volume","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change","After-Hours Close"
55,"RYTM","Rhythm Pharmaceuticals Inc.","USA",3207.63,,54.57,10.51%,-3.85%,101.99%,23.97%,16.93%,16.77,9.24,-0.37%,-0.31%,-0.01%,0.32%,0.40%,-0.44%,-0.09%,-0.09%,1.31%,1.31%,17.07%,18.57%,31.23%,29.33%,230.26%,14.44%,2.02,4.57%,4.80%,21.80%,28.79%,36.80%,5/7/2024 8:30:00 AM,0.10%,1.27%,550.89,4.16,276366,51.90,52.56,53.07,52.03,52.61,1.37%,
56,"SLS","SELLAS Life Sciences Group Inc","USA",64.11,,57.48,0.48%,0.00%,13.36%,-11.61%,15.41%,7.39,8.86,0.01%,0.00%,0.01%,-0.44%,-1.32%,-2.19%,-4.30%,-4.30%,0.92%,0.92%,-5.92%,-23.44%,-16.53%,108.31%,-35.08%,4.73%,0.10,4.91%,11.11%,-5.86%,-15.29%,0.10%,5/14/2024 4:30:00 PM,-2.62%,4.59%,1199.63,4.66,674056,1.09,1.14,1.19,1.11,1.11,1.84%,
57,"FULC","Fulcrum Therapeutics Inc","USA",551.89,,57.64,7.27%,0.85%,91.54%,24.20%,9.18%,6.83,5.29,0.11%,-0.17%,-0.33%,-0.18%,0.91%,-2.68%,-1.93%,2.07%,1.60%,2.07%,35.99%,13.85%,20.65%,25.07%,141.30%,31.56%,0.53,9.10%,6.97%,32.88%,20.93%,28.37%,5/13/2024 8:30:00 AM,3.62%,1.42%,775.26,2.86,272434,8.45,8.57,9.44,8.57,8.88,5.09%,
58,"SKYX","SKYX Platforms Corp","USA",99.14,,58.64,41.46%,0.00%,11.68%,177.14%,8.44%,13.40,4.95,2.02%,1.68%,1.68%,1.68%,0.00%,3.64%,6.42%,6.52%,6.44%,6.44%,29.44%,2.52%,7.88%,-41.78%,-59.93%,-38.14%,0.09,12.71%,10.54%,6.07%,4.60%,-24.05%,5/14/2024 4:30:00 PM,8.70%,-1.71%,369.24,2.51,111769,0.93,0.91,0.99,0.91,0.99,6.84%,
59,"ASG","Liberty All-Star Growth Fund Inc","USA",339.87,5.95,59.95,0.34%,7.07%,26.30%,,0.07%,0.22,0.04,-0.00%,-0.00%,0.17%,0.09%,-0.00%,0.09%,1.43%,1.43%,1.25%,1.25%,5.01%,7.62%,8.44%,7.41%,1.43%,7.00%,0.06,0.86%,0.92%,5.93%,7.03%,9.11%,,1.43%,0.18%,200.60,6.66,161107,5.56,5.57,5.65,5.57,5.65,1.62%,
60,"SLRN","Acelyrin Inc","USA",625.87,,62.84,36.54%,-0.07%,75.70%,,11.28%,7.66,7.09,-0.12%,-0.55%,-0.44%,-0.39%,-1.37%,-0.44%,0.80%,0.80%,4.46%,4.46%,23.92%,44.95%,14.49%,-10.48%,-70.36%,-15.28%,0.39,11.20%,7.84%,40.52%,41.97%,-8.10%,5/14/2024 4:30:00 PM,1.94%,1.14%,924.97,2.11,240355,6.13,6.20,6.47,6.20,6.32,3.10%,
61,"ARQQ","Arqit Quantum Inc","United Kingdom",76.63,,63.20,62.47%,0.00%,5.34%,26.67%,4.88%,1.69,3.08,-1.02%,1.07%,1.09%,-2.15%,-1.07%,1.11%,3.41%,3.93%,3.41%,5.18%,31.12%,21.76%,-11.62%,-3.03%,-63.89%,-4.01%,0.03,10.34%,9.03%,35.31%,21.24%,-9.07%,5/20/2024 8:30:00 AM,3.41%,8.78%,1819.54,5.35,1198153,0.40,0.44,0.47,0.43,0.46,12.48%,
62,"ENR","Energizer Holdings Inc","USA",2164.46,25.50,65.11,9.31%,0.07%,85.94%,4.55%,4.83%,6.14,3.15,-0.01%,0.03%,-0.20%,0.15%,-0.14%,0.17%,0.80%,0.80%,0.80%,0.80%,6.31%,6.09%,10.24%,-6.10%,-10.64%,-4.83%,0.59,2.35%,1.91%,2.72%,2.99%,-0.31%,8/6/2024 8:30:00 AM,0.57%,0.47%,511.96,2.36,148942,29.84,29.98,30.19,29.96,30.15,1.04%,
63,"OKLO","Oklo Inc.","USA",1129.91,49.49,69.37,43.19%,0.00%,19.48%,0.29%,7.99%,1.44,5.54,-0.44%,-0.12%,-0.60%,-1.13%,0.31%,2.59%,3.63%,3.98%,4.01%,3.40%,20.49%,-9.36%,-25.97%,-13.03%,-10.76%,-12.37%,0.92,11.00%,10.17%,7.82%,-4.65%,-13.05%,05/29/2024,3.63%,2.41%,3843.77,3.06,1447470,8.72,8.93,9.39,8.90,9.25,6.12%,
64,"UPST","Upstart Holdings Inc","USA",2651.34,,75.47,14.12%,-2.66%,44.29%,-14.32%,33.34%,5.17,25.16,-0.04%,-0.18%,-0.35%,-0.79%,-0.72%,-0.31%,-0.92%,-0.72%,-0.63%,-1.41%,24.46%,30.78%,37.51%,-5.57%,-35.16%,-26.16%,1.43,7.03%,5.10%,27.06%,23.42%,8.26%,8/6/2024 4:30:00 PM,-0.17%,0.87%,4870.26,3.16,1895107,29.96,30.22,30.85,30.08,30.17,0.70%,
65,"NCZ","Virtus Convertible & Income Fund II","USA",232.53,30.55,76.11,,,34.09%,,0.13%,0.25,0.10,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.21%,1.83%,1.83%,1.83%,3.21%,5.34%,11.90%,3.56%,-0.16%,2.52%,0.04,1.15%,1.22%,4.24%,5.44%,7.38%,,0.63%,0.19%,390.55,2.66,125474,3.03,3.04,3.06,3.02,3.06,0.83%,
66,"STR","Sitio Royalties Corp","USA",3952.69,,77.06,0.79%,0.00%,139.43%,30.06%,7.14%,10.50,5.51,0.04%,0.00%,0.08%,0.43%,0.43%,0.47%,1.71%,1.51%,1.51%,1.51%,6.54%,11.70%,5.62%,14.71%,-1.77%,8.80%,0.55,2.48%,2.34%,8.53%,9.90%,10.39%,8/7/2024 4:30:00 PM,1.43%,0.20%,524.16,2.21,139470,25.17,25.22,25.58,25.22,25.58,1.63%,
67,"IGD","Voya Global Equity Dividend and Premium Opportunity Fund","USA",425.10,13.47,78.87,,,34.97%,,0.05%,0.19,0.04,0.00%,0.00%,0.09%,0.09%,0.21%,0.47%,1.32%,1.32%,1.32%,1.32%,5.27%,5.48%,7.58%,5.27%,5.07%,8.45%,0.06,1.18%,1.02%,4.58%,4.56%,6.91%,,1.32%,0.19%,214.94,6.41,169598,5.31,5.32,5.39,5.31,5.39,1.51%,
68,"CRBU","Caribou Biosciences Inc","USA",213.61,,79.88,11.55%,0.00%,74.64%,8.97%,12.83%,4.27,10.25,0.00%,-0.43%,-0.63%,1.50%,5.58%,8.24%,11.56%,8.99%,11.03%,11.03%,45.99%,22.54%,-41.89%,-56.49%,-62.46%,-58.73%,0.17,8.37%,8.19%,37.14%,-4.03%,-48.61%,5/7/2024 4:30:00 PM,8.99%,1.88%,2400.60,3.62,1068212,2.13,2.17,2.38,2.08,2.37,11.03%,
69,"CMRX","Chimerix Inc","USA",85.82,,80.11,10.62%,-0.07%,43.93%,-1.70%,2.26%,7.70,1.81,0.00%,0.43%,0.79%,1.85%,2.96%,4.08%,2.96%,4.41%,4.41%,4.41%,16.71%,9.42%,4.69%,-0.26%,-19.54%,-0.52%,0.04,5.54%,4.62%,9.25%,3.32%,-2.18%,5/1/2024 8:30:00 AM,2.33%,0.00%,235.36,3.99,113212,0.94,0.94,0.96,0.92,0.96,2.33%,
70,"CRSP","CRISPR Therapeutics AG","Switzerland",5265.89,,81.12,4.47%,-4.12%,66.50%,-0.04%,19.30%,11.85,15.65,-0.05%,-1.35%,-1.46%,-0.10%,4.38%,4.78%,7.10%,7.66%,8.73%,8.62%,12.68%,-4.98%,5.60%,-3.49%,5.10%,-0.94%,2.72,4.32%,4.04%,9.59%,9.43%,1.88%,5/8/2024 4:30:00 PM,7.43%,0.45%,1321.01,3.49,567584,57.46,57.72,63.11,57.43,62.01,7.92%,
71,"AVXL","Anavex Life Sciences Corporation","USA",518.00,,82.05,3.06%,-2.47%,37.78%,-1.98%,21.73%,15.20,17.83,0.16%,0.16%,0.16%,0.66%,1.07%,0.49%,1.16%,3.73%,2.21%,6.25%,34.80%,64.08%,44.68%,2.17%,-27.32%,-34.26%,0.28,6.35%,6.33%,41.67%,47.32%,11.44%,5/9/2024 8:30:00 AM,2.86%,2.06%,1172.72,2.03,287253,5.83,5.95,6.14,5.95,6.12,4.97%,
72,"SBCF","Seacoast Banking Corp. Of Florida","USA",2319.71,19.74,83.33,1.89%,-0.24%,83.51%,2.50%,2.04%,4.31,1.70,0.13%,0.37%,0.26%,0.57%,0.63%,0.81%,3.02%,3.02%,3.02%,3.02%,15.38%,19.89%,22.74%,2.94%,16.81%,-4.04%,0.70,3.34%,2.61%,16.18%,16.11%,13.87%,7/25/2024 4:30:00 PM,2.09%,1.13%,394.11,3.55,172314,26.45,26.75,27.28,26.35,27.31,3.25%,
73,"BMBL","Bumble Inc","USA",1251.17,88.92,88.52,29.85%,-25.00%,70.45%,-2.58%,14.04%,4.45,12.43,0.04%,0.09%,-0.26%,-0.46%,-0.61%,-0.36%,3.36%,3.92%,3.71%,3.38%,3.27%,-7.77%,-2.03%,-28.52%,-49.98%,-32.74%,0.42,4.51%,3.95%,0.25%,-8.00%,-20.57%,5/8/2024 4:30:00 PM,4.25%,1.93%,2795.31,2.43,836777,9.33,9.51,10.00,9.47,9.91,6.26%,
74,"GORO","Gold Resource Corp","USA",45.40,,89.11,1.85%,0.00%,17.42%,-1.12%,0.11%,0.18,0.10,0.00%,0.66%,0.00%,0.02%,0.66%,0.73%,0.00%,0.00%,1.13%,1.13%,23.40%,14.34%,-6.37%,51.98%,-17.95%,32.98%,0.03,6.82%,6.52%,19.16%,9.25%,29.48%,5/2/2024 4:30:00 PM,0.00%,4.60%,552.32,2.21,150012,0.48,0.50,0.50,0.49,0.50,4.60%,
75,"POWW","AMMO Inc","USA",228.83,,89.26,25.11%,-1.46%,27.59%,-8.60%,3.19%,3.66,2.85,0.26%,0.00%,0.26%,0.26%,2.40%,1.60%,1.05%,-1.03%,-0.38%,-0.38%,20.75%,-23.51%,-22.58%,-9.43%,-10.28%,-8.57%,0.12,5.84%,7.22%,13.14%,-11.64%,-16.51%,6/13/2024 4:30:00 PM,0.00%,0.52%,777.07,2.19,209386,1.91,1.92,1.92,1.84,1.92,0.52%,
76,"APPS","Digital Turbine Inc","USA",236.80,,91.74,10.51%,0.00%,59.71%,-4.05%,5.76%,2.65,5.29,0.22%,0.83%,0.84%,1.76%,3.82%,5.00%,9.22%,8.96%,11.51%,11.51%,29.78%,50.00%,23.53%,-60.71%,-78.57%,-66.33%,0.16,9.72%,7.36%,40.26%,22.90%,-39.90%,5/28/2024 4:30:00 PM,10.00%,1.45%,1998.28,2.25,554129,2.07,2.10,2.32,2.10,2.31,11.59%,
77,"HUMA","Humacyte Inc","USA",1038.38,,91.98,22.76%,-10.97%,19.50%,-9.29%,8.97%,2.71,8.25,0.09%,2.11%,1.57%,2.35%,0.69%,2.75%,-2.57%,0.81%,0.58%,-2.79%,48.93%,21.11%,203.83%,229.06%,187.79%,207.04%,0.70,11.77%,10.32%,52.15%,40.60%,128.27%,5/10/2024 8:30:00 AM,-0.97%,4.82%,3048.31,4.71,1765920,8.40,8.81,8.99,8.31,8.72,3.81%,
78,"NOG","Northern Oil and Gas Inc.","USA",4119.21,6.60,93.69,7.29%,-0.31%,102.58%,0.32%,13.82%,9.91,12.95,0.00%,0.20%,0.27%,0.42%,0.67%,1.04%,0.44%,0.17%,0.39%,0.39%,6.59%,9.13%,-3.75%,13.35%,18.21%,9.95%,0.92,2.46%,2.42%,6.79%,4.57%,7.53%,7/30/2024 4:30:00 PM,0.58%,-0.41%,1307.51,2.43,390390,40.69,40.53,40.67,40.26,40.76,0.17%,
79,"FATE","Fate Therapeutics Inc","USA",536.13,,96.91,14.87%,-0.03%,95.08%,-2.37%,20.50%,8.44,19.87,0.06%,0.21%,-0.32%,1.34%,0.17%,-0.60%,18.19%,18.19%,18.19%,18.19%,50.48%,25.26%,-16.49%,3.51%,-0.42%,25.93%,0.32,7.21%,7.44%,37.75%,28.59%,11.93%,5/9/2024 4:30:00 PM,21.08%,0.00%,2354.07,5.75,1665942,3.89,3.89,5.00,3.92,4.71,21.08%,
80,"CHGG","Chegg Inc","USA",381.28,,97.03,5.07%,0.00%,92.68%,-3.98%,17.26%,4.00,16.75,0.53%,-0.48%,0.54%,0.84%,1.12%,2.05%,6.88%,9.06%,8.15%,9.71%,33.21%,22.70%,-45.71%,-66.40%,-59.37%,-67.17%,0.24,6.81%,8.15%,29.02%,2.18%,-51.09%,8/5/2024 4:30:00 PM,9.06%,7.89%,4183.26,4.23,2177111,3.17,3.42,3.76,3.42,3.73,17.67%,
81,"AVPT","AvePoint Inc","USA",1973.34,,98.16,47.02%,-0.19%,35.02%,-1.49%,7.03%,6.43,6.90,0.00%,0.42%,0.38%,0.28%,0.38%,0.57%,0.57%,0.47%,1.24%,0.95%,6.61%,17.94%,37.95%,31.00%,82.36%,29.72%,0.25,2.48%,2.66%,5.30%,13.96%,29.81%,5/9/2024 4:30:00 PM,0.47%,1.05%,1074.08,3.12,411862,10.49,10.60,10.67,10.47,10.65,1.53%,
82,"ZLAB","Zai Lab Limited ADR","China",1836.69,,98.59,0.53%,-14.58%,43.98%,-2.04%,2.86%,4.79,2.82,0.30%,1.81%,1.59%,1.09%,1.70%,1.98%,2.01%,0.27%,1.22%,1.22%,11.49%,-5.89%,30.49%,-24.74%,-33.46%,-32.20%,0.84,4.59%,4.29%,3.85%,-0.34%,-13.86%,8/6/2024 4:30:00 PM,1.65%,1.28%,588.88,7.21,512194,18.00,18.23,18.53,18.01,18.53,2.94%,
83,"JMIA","Jumia Technologies Ag ADR","Germany",1392.70,,100.78,0.35%,0.00%,18.42%,11.49%,6.54%,1.45,6.59,0.00%,-0.11%,0.36%,0.07%,2.30%,-0.07%,0.04%,3.15%,6.33%,5.03%,25.30%,45.56%,232.61%,331.66%,233.41%,290.09%,0.94,13.17%,10.73%,54.82%,80.09%,187.48%,5/7/2024 8:30:00 AM,1.44%,2.84%,4556.63,3.63,2038094,13.20,13.57,14.23,13.42,13.77,4.32%,
84,"ETW","Eaton Vance Tax-Managed Global Buy-Write Opportunities Fund","USA",935.97,6.23,109.56,,,25.99%,,0.08%,0.36,0.09,0.00%,0.00%,-0.12%,-0.05%,0.23%,0.00%,0.15%,0.15%,0.15%,0.15%,1.79%,3.26%,8.79%,8.65%,2.65%,9.91%,0.06,0.63%,0.68%,2.59%,3.79%,8.22%,,0.12%,0.00%,239.59,4.04,116842,8.53,8.53,8.55,8.49,8.54,0.12%,
85,"KSCP","Knightscope Inc","USA",36.11,,111.19,15.10%,0.42%,3.73%,18.67%,7.58%,5.08,8.42,-0.07%,-2.85%,-3.53%,-4.24%,-4.93%,-5.65%,-6.06%,-7.61%,-1.54%,-1.54%,14.73%,-11.44%,-45.51%,-50.63%,-87.24%,-54.05%,0.03,7.20%,9.25%,0.80%,-15.89%,-48.03%,05/29/2024,-4.93%,5.65%,1659.22,9.36,1912169,0.27,0.29,0.30,0.28,0.28,0.44%,
86,"PDO","PIMCO Dynamic Income Opportunities Fund","USA",1497.19,19.84,112.65,0.02%,0.00%,19.77%,,1.36%,4.40,1.53,0.14%,0.07%,0.00%,0.07%,0.22%,0.41%,0.17%,0.17%,0.45%,0.45%,-0.45%,0.45%,6.49%,3.26%,1.29%,8.58%,0.09,0.63%,0.66%,0.29%,0.27%,5.40%,,0.07%,0.38%,348.72,3.19,134406,13.23,13.28,13.30,13.23,13.29,0.45%,
87,"RDFN","Redfin Corp","USA",1003.64,,114.22,4.39%,-0.39%,62.97%,-8.45%,17.41%,4.36,19.88,0.13%,0.25%,-0.35%,-0.93%,0.13%,-0.58%,1.70%,0.97%,0.01%,0.13%,30.65%,30.24%,46.36%,-2.88%,-49.36%,-18.60%,0.43,7.89%,5.60%,33.75%,28.75%,21.54%,5/7/2024 4:30:00 PM,0.61%,0.97%,4564.47,2.49,1401513,8.27,8.35,8.52,8.23,8.40,1.58%,
88,"INUV","Inuvo Inc","USA",43.04,,114.56,18.26%,0.00%,19.90%,-1.22%,0.05%,0.19,0.06,-0.90%,0.69%,-0.90%,3.61%,3.61%,1.29%,2.37%,2.37%,2.37%,2.37%,17.17%,15.89%,-6.94%,-29.56%,38.40%,-27.74%,0.03,8.82%,11.05%,15.15%,8.52%,-4.82%,5/7/2024 4:30:00 PM,2.37%,0.00%,299.18,3.01,108560,0.30,0.30,0.31,0.29,0.31,2.37%,
89,"HYLN","Hyliion Holdings Corporation","USA",426.40,,115.44,33.67%,0.02%,21.93%,11.52%,8.82%,15.34,10.18,-0.20%,-0.28%,-0.40%,-0.31%,0.66%,-0.61%,1.66%,2.07%,2.51%,2.51%,44.97%,65.54%,85.61%,163.67%,24.37%,201.09%,0.12,9.33%,6.51%,46.44%,56.23%,104.35%,4/30/2024 4:30:00 PM,1.66%,1.69%,663.71,3.06,249619,2.37,2.41,2.48,2.38,2.45,3.38%,
90,"MCRB","Seres Therapeutics Inc","USA",211.95,,119.86,20.86%,-0.14%,41.43%,12.80%,17.26%,4.30,20.69,-1.86%,1.05%,1.42%,2.53%,4.45%,-0.68%,3.67%,18.60%,21.70%,21.70%,37.21%,97.00%,126.49%,16.62%,-69.04%,-0.04%,0.12,13.78%,10.86%,69.22%,56.31%,28.81%,5/8/2024 8:30:00 AM,17.61%,0.00%,4808.00,9.62,5693094,1.19,1.19,1.44,1.19,1.40,17.61%,
91,"SANA","Sana Biotechnology Inc","USA",1550.48,,120.52,45.59%,5.68%,50.28%,1.60%,21.58%,13.74,26.01,0.57%,1.45%,0.59%,-0.07%,2.49%,2.94%,6.54%,6.54%,10.06%,10.06%,33.84%,-2.10%,-18.13%,10.67%,21.11%,71.57%,0.44,6.95%,6.82%,27.09%,-1.45%,11.34%,5/8/2024 4:30:00 PM,8.86%,1.10%,1893.61,3.98,927278,6.36,6.43,7.10,6.43,7.00,10.06%,
92,"LODE","Comstock Inc","USA",22.67,2.41,126.38,8.58%,13.00%,6.85%,-7.01%,1.16%,0.86,1.47,0.68%,0.86%,0.74%,0.49%,2.89%,4.46%,0.99%,-0.61%,0.61%,-0.06%,9.33%,-21.12%,-48.43%,-68.21%,-74.49%,-70.07%,0.02,11.71%,9.81%,-1.94%,-23.20%,-56.55%,4/30/2024 8:30:00 AM,-0.30%,2.56%,1701.97,3.92,804956,0.16,0.16,0.17,0.16,0.16,2.24%,
93,"HAS","Hasbro, Inc.","USA",8472.93,,130.15,6.52%,-0.14%,92.43%,-0.62%,3.64%,2.55,4.74,0.00%,0.03%,0.07%,0.08%,0.08%,0.61%,1.87%,1.86%,-1.25%,-1.25%,7.64%,4.89%,9.48%,25.20%,-5.05%,19.19%,1.36,1.97%,2.22%,3.24%,2.04%,12.72%,7/25/2024 8:30:00 AM,2.11%,0.15%,1858.31,2.05,469218,59.51,59.60,60.98,59.53,60.86,2.27%,
94,"PGEN","Precigen Inc","USA",448.05,,130.85,48.16%,0.00%,24.44%,-6.78%,10.06%,15.78,13.16,-0.56%,-0.28%,0.28%,0.57%,1.14%,1.43%,4.72%,8.23%,7.58%,7.58%,14.52%,4.41%,26.79%,29.56%,50.42%,32.46%,0.09,4.55%,5.41%,13.47%,18.32%,30.14%,5/14/2024 4:30:00 PM,6.29%,1.52%,834.39,2.43,249065,1.64,1.67,1.79,1.66,1.77,7.90%,
95,"SLDP","Solid Power Inc","USA",389.51,,134.35,24.12%,-2.57%,23.02%,39.65%,12.06%,8.60,16.20,0.46%,0.00%,-0.45%,-0.44%,1.85%,0.45%,0.69%,2.80%,2.33%,2.33%,28.65%,30.18%,39.24%,74.60%,-20.86%,51.72%,0.11,8.19%,5.66%,27.98%,26.18%,37.51%,5/7/2024 4:30:00 PM,0.92%,0.93%,1883.43,2.64,610998,2.16,2.18,2.22,2.15,2.20,1.85%,
96,"JQC","Nuveen Credit Strategies Income Fund","USA",760.09,9.83,135.60,,,35.32%,,0.05%,0.13,0.07,0.00%,-0.09%,-0.09%,0.09%,0.09%,-0.44%,-0.97%,-0.97%,-0.97%,-0.97%,-1.15%,-1.49%,4.38%,6.97%,11.21%,7.38%,0.07,1.35%,1.10%,-0.18%,-0.23%,4.68%,,-0.97%,1.43%,548.93,3.58,237393,5.58,5.66,5.66,5.59,5.61,0.45%,
97,"ALLO","Allogene Therapeutics Inc","USA",736.99,,136.69,34.53%,2.41%,50.45%,4.07%,30.28%,14.89,41.38,0.56%,0.71%,-1.40%,-1.40%,-2.45%,0.25%,14.24%,18.06%,25.62%,22.57%,53.48%,38.98%,-0.56%,9.63%,-28.83%,9.97%,0.23,8.44%,7.70%,46.99%,38.08%,8.11%,5/13/2024 4:30:00 PM,17.67%,0.67%,2780.18,8.63,2952332,2.98,3.00,3.66,3.00,3.53,18.46%,
98,"IGR","CBRE Global Real Estate Income Fund","USA",771.23,6.56,139.66,0.02%,6.67%,25.14%,,0.09%,0.27,0.13,0.00%,0.18%,0.27%,0.36%,0.38%,0.46%,1.47%,2.04%,2.23%,2.23%,9.54%,8.25%,14.08%,0.73%,-1.25%,1.47%,0.09,1.95%,1.62%,8.95%,8.76%,11.44%,,2.04%,0.19%,476.47,2.64,151995,5.39,5.40,5.51,5.40,5.51,2.23%,
99,"PWR","Quanta Services, Inc.","USA",37731.29,49.97,144.55,1.26%,-3.63%,90.61%,-1.38%,3.14%,4.85,4.54,0.11%,0.03%,-0.06%,0.04%,0.64%,1.04%,-0.72%,-1.24%,5.15%,5.15%,1.16%,-6.85%,3.56%,27.31%,31.42%,19.44%,7.25,2.37%,2.60%,-2.26%,-3.76%,14.67%,8/1/2024 8:30:00 AM,-0.67%,0.88%,936.28,2.05,236457,257.24,259.49,259.01,253.30,257.74,0.20%,
100,"CORZ","Core Scientific Inc","USA",2035.58,108.74,145.91,17.93%,1.11%,28.02%,,22.62%,3.12,33.00,0.00%,0.00%,-0.82%,-1.21%,-0.39%,0.70%,2.23%,2.42%,2.78%,3.71%,19.77%,16.24%,304.59%,,,232.85%,0.87,8.74%,9.49%,17.54%,63.86%,133.98%,5/8/2024 4:30:00 PM,3.15%,0.82%,10583.26,2.26,2942666,11.01,11.10,11.67,11.09,11.45,4.00%,
101,"IREN","Iris Energy Ltd","Australia",2222.09,,164.78,10.87%,0.00%,15.99%,-1.50%,3.68%,0.41,6.06,-0.09%,-2.40%,-2.96%,-4.38%,-5.21%,-4.23%,-1.88%,-2.84%,-1.24%,0.41%,-6.25%,-12.27%,177.58%,133.38%,68.33%,68.10%,1.47,17.92%,12.49%,-8.26%,23.30%,97.40%,5/15/2024 4:30:00 PM,-2.24%,2.50%,14763.54,3.70,6719551,11.99,12.30,12.79,11.99,12.02,0.20%,
102,"CTXR","Citius Pharmaceuticals Inc","USA",146.32,,168.37,6.81%,0.00%,14.92%,-6.74%,8.41%,6.56,14.15,-0.01%,-0.64%,-0.52%,-0.55%,0.66%,0.78%,4.76%,5.18%,5.83%,5.83%,19.77%,29.05%,5.84%,7.99%,-31.94%,7.06%,0.06,11.04%,9.52%,28.36%,24.20%,11.00%,5/14/2024 4:30:00 PM,4.77%,1.01%,2157.86,2.02,537585,0.77,0.77,0.82,0.77,0.81,5.83%,
103,"FLUT","Flutter Entertainment Plc","USA",36845.50,,175.84,1.03%,0.00%,75.15%,,1.51%,2.41,2.65,0.02%,0.04%,0.06%,-0.01%,-0.10%,0.07%,0.37%,1.06%,0.93%,1.03%,4.24%,16.12%,12.69%,30.72%,0.97%,15.85%,4.66,1.89%,2.21%,8.31%,6.56%,11.44%,5/14/2024 8:30:00 AM,0.64%,-0.55%,1100.74,9.18,1243695,207.21,206.06,207.84,206.25,207.37,0.08%,
104,"CTLT","Catalent Inc.","USA",10484.17,,175.94,2.78%,-0.09%,94.83%,-7.71%,4.89%,5.06,8.61,0.02%,0.03%,-0.02%,0.07%,0.12%,0.16%,-0.05%,0.16%,0.16%,0.16%,1.10%,3.50%,3.30%,17.43%,24.18%,28.93%,0.56,1.09%,0.91%,2.58%,3.77%,15.01%,5/8/2024 4:30:00 PM,0.22%,-0.07%,1700.40,3.95,826192,57.84,57.80,58.00,57.72,57.93,0.16%,
105,"GNS","Genius Group Ltd","Singapore",45.57,,176.40,5.23%,0.00%,1.11%,,1.65%,0.85,2.91,0.33%,0.33%,0.08%,0.91%,1.16%,0.78%,0.53%,1.66%,-0.04%,-1.88%,1.16%,-9.00%,-40.58%,-5.85%,-66.00%,-63.07%,0.03,12.30%,9.43%,-4.87%,-20.37%,-49.95%,5/16/2024 8:30:00 AM,0.00%,0.74%,3428.95,2.31,975448,0.24,0.24,0.25,0.24,0.24,0.74%,
106,"HOMB","Home Bancshares Inc","USA",5214.87,13.50,185.45,7.42%,-0.70%,67.59%,-3.95%,2.46%,4.98,4.55,-0.10%,0.05%,-0.10%,0.18%,0.24%,0.36%,1.77%,1.49%,2.09%,2.09%,8.88%,13.78%,13.98%,10.17%,11.78%,2.77%,0.48,2.11%,1.73%,9.61%,9.23%,11.82%,7/17/2024 4:30:00 PM,1.53%,0.55%,913.55,2.91,326883,25.50,25.64,26.06,25.58,26.03,2.09%,
107,"CIFR","Cipher Mining Inc","USA",1933.04,128.82,192.19,38.01%,-6.62%,16.66%,-2.08%,11.55%,2.60,22.21,-0.40%,-2.04%,-3.33%,-4.05%,-2.96%,-3.47%,3.23%,2.21%,1.91%,3.57%,42.68%,24.95%,70.82%,91.26%,26.99%,50.97%,0.48,11.17%,10.03%,34.22%,46.22%,73.65%,5/7/2024 8:30:00 AM,2.89%,1.34%,8554.08,4.12,4340335,5.98,6.06,6.55,5.98,6.24,4.26%,
108,"ONON","On Holding AG","Switzerland",12037.74,89.55,197.43,35.07%,0.00%,57.48%,0.72%,15.61%,6.29,30.81,0.03%,-0.18%,0.38%,0.64%,1.07%,0.89%,3.34%,4.65%,4.79%,4.96%,6.42%,-7.72%,22.91%,41.29%,19.46%,46.79%,1.45,3.01%,3.68%,2.23%,2.85%,24.98%,5/14/2024 8:30:00 AM,4.28%,1.00%,4896.51,2.73,1647954,37.59,37.97,39.68,38.06,39.59,5.32%,
109,"CLSK","Cleanspark Inc","USA",4240.66,139.92,220.35,3.30%,-13.49%,43.88%,4.32%,16.66%,1.20,36.72,-0.05%,-0.85%,-2.23%,-2.69%,-2.72%,-2.41%,1.03%,1.42%,1.79%,2.14%,22.27%,3.59%,26.68%,128.62%,169.71%,68.72%,1.37,6.87%,7.77%,10.75%,11.41%,50.53%,5/9/2024 8:30:00 AM,1.53%,0.16%,30608.33,2.81,10584623,18.30,18.33,19.21,18.28,18.61,1.69%,
110,"ELV","Elevance Health Inc","USA",126668.90,20.59,231.34,0.46%,-4.08%,90.79%,0.08%,0.95%,2.19,2.19,-0.12%,-0.18%,-0.36%,-0.05%,0.19%,-0.54%,0.19%,1.31%,2.70%,2.44%,2.98%,1.16%,8.98%,14.71%,24.22%,15.57%,10.06,1.55%,1.84%,2.10%,1.95%,9.64%,7/17/2024 8:30:00 AM,0.43%,2.26%,1002.33,2.01,247442,530.66,542.66,547.38,536.07,545.00,2.70%,
