Symbol,Combination,Total_Trades,Profitable_Trades,Total_Profit_Loss,Accuracy
SNPS,"Volume_Float_Ratio, Volume_Per_Minute, Volume_Per_Minute_Institutional_Transactions",1,0,-8.029998779296875,0.0
SNPS,"Volume_Float_Ratio, Volume_Per_Minute, Short Ratio",0,0,0.0,0.0
SNPS,"Volume_Float_Ratio, Short Ratio, Volume_Per_Minute_Institutional_Transactions",0,0,0.0,0.0
SNPS,"Volume_Per_Minute, Short Ratio, Volume_Per_Minute_Institutional_Transactions",0,0,0.0,0.0
SBAC,"Market_Force_Indicator, Volume_Float_Ratio, Relative Volume",22,10,9.023529052734375,45.45454545454545
SBAC,"Market_Force_Indicator, Volume_Per_Minute, Relative Volume",9,4,-5.9764862060546875,44.44444444444444
SBAC,"Market_Force_Indicator, Relative Volume, Volume_Per_Minute_Institutional_Transactions",0,0,0.0,0.0
SBAC,"Market_Force_Indicator, Relative Volume, Short Ratio",0,0,0.0,0.0
SBAC,"Market_Force_Indicator, Volume_Float_Ratio, Volume_Per_Minute",13,5,-8.961471557617188,38.46153846153847
SBAC,"Market_Force_Indicator, Volume_Float_Ratio, Volume_Per_Minute_Institutional_Transactions",0,0,0.0,0.0
SBAC,"Volume_Float_Ratio, Volume_Per_Minute, Relative Volume",9,4,-5.9764862060546875,44.44444444444444
SBAC,"Market_Force_Indicator, Volume_Float_Ratio, Short Ratio",0,0,0.0,0.0
SBAC,"Volume_Float_Ratio, Relative Volume, Volume_Per_Minute_Institutional_Transactions",0,0,0.0,0.0
SBAC,"Market_Force_Indicator, Volume_Per_Minute, Volume_Per_Minute_Institutional_Transactions",0,0,0.0,0.0
SBAC,"Volume_Float_Ratio, Relative Volume, Short Ratio",0,0,0.0,0.0
SBAC,"Market_Force_Indicator, Volume_Per_Minute, Short Ratio",0,0,0.0,0.0
SBAC,"Volume_Per_Minute, Relative Volume, Volume_Per_Minute_Institutional_Transactions",0,0,0.0,0.0
SBAC,"Market_Force_Indicator, Short Ratio, Volume_Per_Minute_Institutional_Transactions",0,0,0.0,0.0
SBAC,"Volume_Per_Minute, Relative Volume, Short Ratio",0,0,0.0,0.0
SBAC,"Relative Volume, Short Ratio, Volume_Per_Minute_Institutional_Transactions",0,0,0.0,0.0
SBAC,"Volume_Float_Ratio, Volume_Per_Minute, Volume_Per_Minute_Institutional_Transactions",0,0,0.0,0.0
SBAC,"Volume_Float_Ratio, Volume_Per_Minute, Short Ratio",0,0,0.0,0.0
SBAC,"Volume_Float_Ratio, Short Ratio, Volume_Per_Minute_Institutional_Transactions",0,0,0.0,0.0
SBAC,"Volume_Per_Minute, Short Ratio, Volume_Per_Minute_Institutional_Transactions",0,0,0.0,0.0
AIG,"Market_Force_Indicator, Volume_Float_Ratio, Relative Volume",24,8,-6.277305603027344,33.33333333333333
AIG,"Market_Force_Indicator, Volume_Per_Minute, Relative Volume",24,8,-6.277305603027344,33.33333333333333
AIG,"Market_Force_Indicator, Relative Volume, Volume_Per_Minute_Institutional_Transactions",24,8,-6.277305603027344,33.33333333333333
AIG,"Market_Force_Indicator, Relative Volume, Short Ratio",0,0,0.0,0.0
AIG,"Market_Force_Indicator, Volume_Float_Ratio, Volume_Per_Minute",68,43,4.354881286621094,63.23529411764706
AIG,"Market_Force_Indicator, Volume_Float_Ratio, Volume_Per_Minute_Institutional_Transactions",59,36,3.3326797485351562,61.016949152542374
AIG,"Volume_Float_Ratio, Volume_Per_Minute, Relative Volume",24,8,-6.277305603027344,33.33333333333333
AIG,"Market_Force_Indicator, Volume_Float_Ratio, Short Ratio",0,0,0.0,0.0
AIG,"Volume_Float_Ratio, Relative Volume, Volume_Per_Minute_Institutional_Transactions",24,8,-6.277305603027344,33.33333333333333
AIG,"Market_Force_Indicator, Volume_Per_Minute, Volume_Per_Minute_Institutional_Transactions",59,36,3.3326797485351562,61.016949152542374
AIG,"Volume_Float_Ratio, Relative Volume, Short Ratio",0,0,0.0,0.0
AIG,"Market_Force_Indicator, Volume_Per_Minute, Short Ratio",0,0,0.0,0.0
AIG,"Volume_Per_Minute, Relative Volume, Volume_Per_Minute_Institutional_Transactions",24,8,-6.277305603027344,33.33333333333333
AIG,"Market_Force_Indicator, Short Ratio, Volume_Per_Minute_Institutional_Transactions",0,0,0.0,0.0
AIG,"Volume_Per_Minute, Relative Volume, Short Ratio",0,0,0.0,0.0
